,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.82,3.29,2.62,2.79,2.12,0.83,1.4,0.96,0.81,0.9,1.38,0.58,0.88,0.69,0.8
e_1,1.99,1.07,3.57,3.61,3.8,2.54,1.3,1.16,1.36,1.06,0.95,1.18,0.85,0.89,0.89,2.0
c_1,3.55,3.11,1.07,3.73,3.75,2.74,1.64,1.18,0.63,1.75,1.09,0.93,0.69,0.77,0.82,0.79
d_1,4.05,4.06,3.76,1.07,3.53,3.51,1.2,0.82,2.09,1.06,0.83,0.92,0.74,0.94,0.52,0.78
b_1,5.42,3.72,2.23,4.24,1.07,4.89,1.67,1.83,1.34,1.5,2.97,1.2,1.06,1.2,0.94,0.86
a_1,5.77,5.88,6.16,5.31,2.8,1.07,2.29,2.07,1.95,1.87,1.39,2.1,1.78,3.88,1.24,1.42
h_1,8.7,7.13,6.71,7.25,6.41,6.64,1.37,3.22,2.24,2.5,2.11,2.15,3.78,1.78,1.7,2.5
g_1,8.33,9.13,8.66,10.24,7.43,7.04,2.97,1.38,2.57,2.24,2.15,2.35,1.53,2.13,2.67,2.36
d_0,8.94,5.25,11.0,15.13,7.72,6.35,3.76,3.69,1.64,2.33,2.77,2.43,2.36,2.5,2.08,2.13
c_0,11.66,8.14,19.74,6.22,8.91,7.16,3.64,4.31,3.32,1.66,3.67,2.59,2.35,3.31,2.83,2.62
b_0,10.82,9.64,14.23,9.22,15.34,11.8,3.69,3.4,2.99,1.37,1.63,2.57,2.22,2.73,1.6,2.05
f_0,25.98,8.64,10.8,9.34,10.06,10.62,4.0,2.57,3.01,2.85,2.77,1.58,2.81,2.47,1.64,2.7
h_0,12.95,10.76,11.48,11.57,9.47,7.69,5.71,4.71,2.84,3.13,2.89,2.36,4.21,3.1,2.43,2.3
a_0,13.43,12.3,15.16,10.81,17.04,,5.03,4.21,3.15,2.87,2.24,2.98,2.74,1.64,2.49,3.91
g_0,15.15,13.79,16.16,12.64,11.75,14.49,4.86,9.34,3.9,2.89,4.02,4.14,3.17,3.51,4.52,3.16
e_0,22.71,17.53,15.6,16.04,14.23,15.48,5.03,4.66,3.84,3.64,3.49,2.33,3.49,3.18,3.09,1.62
