,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,3.87,3.48,4.44,4.48,3.98,0.91,1.03,1.34,0.83,0.81,1.77,0.46,0.89,0.71,0.94
e_1,2.61,1.12,4.6,4.87,4.77,4.15,1.3,1.13,1.29,0.87,0.88,1.2,0.67,0.78,0.8,1.93
d_1,4.6,5.12,1.12,4.67,5.12,4.37,1.14,2.48,0.77,0.98,0.78,0.85,0.55,0.81,0.44,0.89
c_1,4.97,4.22,6.68,1.12,4.42,4.22,1.27,0.54,1.64,1.6,0.97,0.9,0.77,0.94,0.58,0.78
b_1,6.14,5.86,5.66,2.91,1.13,6.76,1.79,1.07,1.63,1.5,2.29,1.09,0.79,1.13,0.96,0.96
a_1,11.6,8.42,9.08,9.21,3.87,1.14,3.39,1.71,3.68,1.66,2.43,1.83,1.56,3.16,1.3,1.62
h_1,16.52,15.5,15.09,16.33,13.33,10.62,1.75,3.16,4.81,3.69,3.14,3.07,3.69,2.78,2.09,2.9
d_0,19.48,9.77,33.61,22.15,18.54,17.74,6.78,2.21,6.38,4.28,4.55,3.58,2.99,4.25,3.0,3.81
g_1,20.45,19.02,17.06,20.86,20.08,17.25,4.32,4.97,1.8,4.11,4.28,3.78,2.31,4.02,4.4,3.57
c_0,20.34,20.78,10.71,39.93,23.14,23.5,7.66,5.55,4.88,2.21,4.16,4.04,3.03,4.3,3.08,4.62
b_0,21.15,20.31,17.68,32.34,38.05,19.79,6.12,5.01,6.78,2.36,2.33,3.78,3.2,4.3,2.71,3.64
f_0,47.45,19.43,22.05,21.14,23.9,27.25,7.45,4.47,3.72,4.05,4.94,2.27,3.62,5.07,2.07,4.05
h_0,29.37,26.24,29.02,32.02,38.05,25.75,12.81,7.6,7.16,5.44,5.25,5.71,7.81,5.61,4.84,4.21
a_0,32.18,34.9,27.16,34.04,49.86,44.76,12.06,9.44,8.26,6.26,3.66,7.16,4.89,2.74,5.14,7.45
g_0,37.38,32.39,35.0,35.54,38.05,41.78,7.81,7.51,15.71,7.29,7.14,8.01,3.9,5.61,7.21,5.96
e_0,52.13,49.93,31.44,43.7,34.84,40.0,10.65,6.61,11.71,7.65,7.05,3.16,5.41,8.6,4.35,2.6
