,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.4,1.54,1.49,1.99,1.77,1.71,3.0,5.43,3.45,3.4,3.98,4.43,3.45,4.69,3.34,5.12
f_1,2.29,2.47,1.58,1.71,1.44,1.47,2.85,3.72,3.27,3.34,3.6,2.8,3.75,4.35,2.94,4.21
d_1,1.75,1.75,2.57,1.49,1.46,1.55,3.65,2.99,3.12,5.35,4.35,3.8,4.01,4.32,4.06,4.43
c_1,1.48,1.6,1.67,2.61,2.59,1.8,3.16,2.97,2.98,2.79,2.88,3.52,3.54,4.49,3.99,4.61
b_1,1.59,1.76,1.73,1.54,2.79,2.77,3.17,3.55,3.11,3.52,3.01,3.67,3.25,4.57,4.26,4.09
a_1,1.64,1.93,1.68,1.73,1.54,3.38,3.59,3.33,3.38,3.69,3.88,3.81,3.02,4.68,3.97,4.51
h_1,1.79,2.09,1.68,1.75,1.69,1.48,4.29,3.42,3.78,3.35,3.66,3.6,3.83,4.26,4.13,5.66
d_0,1.46,1.64,1.53,2.65,1.95,1.69,3.08,4.51,3.54,2.72,3.91,3.94,4.07,4.79,3.94,4.59
g_1,1.5,1.55,2.26,1.76,1.73,1.56,3.26,3.14,4.9,3.98,3.92,5.35,4.1,4.46,4.82,4.56
c_0,1.76,1.87,1.67,1.87,1.41,1.64,3.57,4.22,3.51,4.75,6.17,4.04,4.93,5.05,4.21,5.24
b_0,1.67,1.85,1.69,2.02,1.73,1.46,3.81,3.66,3.64,3.35,4.81,3.86,6.45,5.08,4.17,5.01
f_0,1.42,1.6,1.87,1.83,2.01,1.78,3.47,3.82,3.27,3.66,4.27,4.99,4.04,4.77,6.67,5.0
a_0,1.84,1.74,1.63,1.76,1.8,1.54,3.35,3.74,3.41,3.47,3.21,3.96,5.37,5.1,4.13,4.61
h_0,1.73,1.97,1.97,1.66,1.67,1.56,2.97,3.53,4.09,3.57,3.64,3.97,3.89,4.33,4.02,5.98
e_0,1.56,1.97,1.87,1.74,1.66,2.03,3.44,3.35,3.18,3.79,4.42,3.38,4.02,5.15,5.47,4.63
g_0,1.54,1.62,2.28,1.71,1.88,1.61,3.06,3.37,2.86,3.77,3.75,4.95,3.88,4.35,4.73,4.16
