,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.05,2.29,1.77,1.97,1.68,1.56,0.57,0.57,0.68,0.57,0.81,0.57,0.36,0.54,0.4,0.55
e_1,1.34,1.06,2.54,1.91,2.02,1.95,0.81,0.77,0.8,0.57,0.72,0.58,0.55,0.71,0.67,0.44
c_1,2.6,1.8,1.06,2.67,2.62,1.59,0.74,0.43,0.82,0.73,0.59,0.55,0.52,0.5,0.5,0.49
d_1,2.39,2.67,2.08,1.06,2.19,1.77,0.92,1.09,0.57,0.75,0.65,0.75,0.55,0.6,0.54,0.35
b_1,3.0,2.83,1.52,2.63,1.06,2.89,1.03,0.84,1.04,0.84,0.73,1.02,0.62,0.62,0.73,0.53
a_1,3.79,3.14,3.46,3.5,1.7,1.07,1.33,1.11,1.17,1.13,0.91,0.99,0.75,0.84,1.25,0.72
h_1,6.56,5.68,6.3,5.36,5.18,4.55,1.33,1.53,2.18,1.56,1.52,1.71,1.34,1.17,1.41,1.21
d_0,6.92,4.07,8.48,8.7,5.83,4.82,2.68,1.5,2.66,1.94,2.04,2.1,1.51,1.46,1.63,2.03
g_1,7.48,6.5,6.87,6.5,5.97,6.47,1.84,2.05,1.33,1.61,2.14,1.71,1.17,1.62,1.75,1.59
c_0,7.57,7.24,11.82,4.08,7.06,5.84,2.75,2.39,2.7,1.49,1.93,2.59,1.82,1.77,2.14,1.53
f_0,11.04,6.49,7.76,6.17,7.36,6.14,3.16,2.11,1.83,2.11,1.5,2.12,1.8,2.23,1.94,1.13
b_0,8.43,7.46,10.35,6.04,11.06,7.1,2.76,2.31,2.68,1.3,2.06,1.46,1.59,1.68,2.19,1.64
h_0,10.37,8.07,8.98,8.43,7.64,6.93,4.68,2.81,3.65,2.46,2.26,2.5,2.4,1.92,2.13,2.0
e_0,13.46,11.77,12.28,9.25,10.07,8.53,4.78,3.64,3.48,2.55,1.72,2.77,2.57,1.59,2.74,2.04
a_0,13.57,10.38,11.56,10.2,9.9,9.57,4.42,3.3,3.32,2.55,3.19,1.86,2.4,2.25,1.57,2.54
g_0,11.04,11.83,10.1,11.78,9.44,8.84,3.22,2.86,5.0,3.25,3.07,2.91,2.04,2.33,2.51,2.65
