,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.15,88.69,76.59,106.52,71.9,74.93,15.33,26.88,21.6,18.31,14.84,,19.29,8.74,,13.48
e_1,54.55,1.15,91.08,86.89,97.42,96.33,26.07,32.0,18.0,16.44,14.46,17.52,23.82,13.4,,11.23
d_1,101.31,138.36,1.15,89.24,88.82,80.92,22.34,13.71,17.05,,18.19,15.77,16.2,13.86,18.74,8.64
c_1,107.45,86.48,96.29,1.15,88.82,112.39,27.93,21.0,,9.57,23.5,16.31,19.29,14.36,17.8,11.62
b_1,118.2,70.59,105.31,50.8,1.15,96.33,26.97,33.6,22.34,19.42,,31.53,23.82,16.08,29.67,14.04
a_1,131.33,172.95,146.52,137.58,97.42,1.15,71.09,56.0,27.0,29.14,40.29,27.82,,23.65,,18.72
h_1,114.39,101.74,102.12,100.06,111.85,119.0,2.0,33.6,19.64,12.09,23.5,24.89,20.25,,16.95,12.96
g_1,104.29,192.17,129.62,173.79,177.65,119.0,21.14,2.0,21.6,33.74,23.5,23.65,33.75,8.74,20.94,
c_0,90.92,96.08,57.12,,116.15,126.44,18.19,37.33,2.91,30.52,18.8,14.33,19.29,11.82,16.95,12.04
d_0,82.47,51.63,,75.05,111.85,74.93,32.58,37.33,21.6,2.95,22.56,18.19,18.41,12.56,15.48,21.06
b_0,107.45,144.12,120.36,173.79,,183.91,32.58,30.55,10.8,20.68,2.95,22.52,17.61,12.56,22.25,11.62
f_0,,133.04,96.29,137.58,143.81,134.87,41.16,16.8,21.6,30.52,22.56,3.13,31.15,28.71,27.38,12.96
a_0,168.86,144.12,146.52,183.44,137.27,,55.86,44.8,28.17,35.61,17.62,31.53,2.96,22.33,,24.07
h_0,93.32,108.09,105.31,84.67,77.44,91.95,,25.85,22.34,22.89,18.8,21.5,13.97,,19.78,18.72
e_0,,,198.24,220.13,120.8,,60.15,37.33,46.29,49.31,40.29,13.91,,19.14,2.87,22.47
g_0,114.39,128.11,124.81,103.19,120.8,101.15,23.7,,34.11,27.87,24.52,33.79,23.82,13.4,22.25,
