,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,6.02,4.59,2.66,2.66,2.69,2.52,9.37,8.29,10.97,14.31,11.27,9.83,21.06,15.37,18.4,9.02
e_1,2.86,6.31,2.56,3.56,2.77,2.94,9.95,9.57,11.73,22.78,14.05,14.27,20.15,14.47,19.85,11.74
d_1,3.1,2.75,6.35,2.19,2.7,3.27,10.67,11.98,22.1,10.94,16.48,13.67,21.93,13.96,22.1,14.25
c_1,2.61,2.42,2.8,7.12,4.8,2.9,9.9,9.29,8.67,12.17,8.85,14.22,17.75,10.73,19.92,14.62
b_1,2.68,2.66,2.86,2.76,7.58,5.44,11.0,10.43,12.64,13.67,9.98,12.78,23.14,12.0,19.43,14.75
a_1,3.21,2.74,2.96,3.05,2.89,10.75,11.58,10.81,11.89,13.61,15.16,14.08,20.36,11.01,21.61,17.63
h_1,3.53,2.63,3.58,2.96,2.46,2.95,19.19,13.71,13.34,12.97,16.65,14.75,17.43,16.95,29.09,17.71
g_1,2.78,2.76,4.25,2.77,2.91,3.04,10.41,21.87,15.44,11.03,15.81,20.49,20.98,16.33,18.79,15.72
c_0,3.15,2.99,3.37,2.62,2.59,3.34,11.46,12.43,20.84,14.19,26.25,17.51,24.1,20.38,27.97,17.16
d_0,2.94,2.97,2.4,5.32,3.41,2.86,9.8,11.41,8.77,19.67,13.76,13.54,18.33,13.07,20.84,16.69
b_0,3.14,2.85,3.3,3.19,2.79,2.72,12.74,13.59,14.85,13.9,23.7,18.04,24.77,32.05,26.43,18.0
f_0,2.73,2.49,3.26,3.34,3.0,3.78,13.14,12.67,15.21,13.61,15.73,24.36,23.01,17.48,25.32,32.85
h_0,3.77,3.13,3.1,2.82,2.88,3.11,9.07,14.45,13.3,13.18,13.91,15.34,17.08,18.05,28.74,12.16
a_0,3.26,2.71,3.49,3.08,3.13,2.37,13.08,14.07,14.91,14.2,16.19,14.01,25.7,31.24,25.11,16.92
g_0,2.84,2.56,4.32,2.93,2.86,3.3,12.22,10.46,14.39,12.17,15.72,20.95,21.35,16.5,18.49,19.93
e_0,3.2,2.12,3.37,3.2,3.02,3.42,13.07,13.16,14.8,11.46,15.34,18.38,23.99,17.47,24.23,32.9
