,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,7.07,6.05,5.48,5.8,7.5,1.76,1.85,2.54,1.6,1.73,,1.49,1.84,1.9,2.07
e_1,3.68,0.67,5.91,5.59,5.47,6.18,3.03,1.78,2.71,2.13,1.86,2.15,2.07,1.63,,2.56
d_1,6.75,7.53,0.65,4.58,6.54,5.32,2.52,2.42,1.56,,2.14,2.51,1.83,2.02,2.43,1.01
c_1,5.56,6.61,7.21,0.65,6.82,4.65,2.58,,2.44,1.27,2.42,1.89,2.03,1.75,1.82,1.79
b_1,5.71,6.27,7.12,3.96,0.64,,2.25,2.0,3.54,2.29,,1.93,1.91,2.45,1.91,1.81
a_1,5.42,7.45,8.02,8.89,,0.58,3.02,3.55,3.74,2.5,2.92,2.23,2.35,,,
h_1,5.74,4.07,5.16,5.22,5.25,3.59,0.61,1.83,2.01,1.98,2.86,1.87,,1.66,1.43,1.14
c_0,6.08,5.37,2.89,,5.13,3.42,2.46,0.7,1.61,1.65,2.09,1.96,1.29,1.57,1.82,1.21
g_1,5.24,5.83,7.76,6.15,4.07,3.86,2.85,2.62,0.57,1.93,2.02,2.03,1.22,2.42,,
d_0,6.55,3.6,,6.36,5.56,4.31,2.04,2.0,2.56,0.7,1.68,1.5,1.03,1.5,1.45,1.38
b_0,5.54,4.58,4.75,4.56,,5.14,1.76,1.31,2.77,2.05,0.67,2.2,1.34,2.24,1.59,2.47
f_0,,4.96,3.89,4.57,5.16,6.91,2.39,1.83,1.7,2.67,1.82,0.67,1.69,1.85,2.88,0.89
h_0,4.29,3.67,4.08,4.4,3.72,3.4,,1.88,2.38,1.74,1.64,1.71,,1.99,1.74,1.92
a_0,7.12,7.9,6.48,8.73,6.77,,3.62,1.85,1.75,2.39,1.25,2.19,1.53,0.61,2.02,1.52
e_0,7.09,,5.51,8.86,5.82,,3.18,1.89,,2.96,2.57,1.03,1.67,1.81,0.59,1.9
g_0,4.67,4.71,6.64,4.51,5.32,,1.86,2.35,,1.69,1.29,2.1,1.02,1.97,1.35,
