,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.41,0.9,0.85,0.77,0.89,0.84,0.38,0.51,0.42,0.34,0.56,0.41,0.29,0.35,0.38,0.34
e_1,0.58,0.41,1.04,0.93,0.91,0.82,0.49,0.55,0.45,0.41,0.49,0.42,0.37,0.75,0.44,0.36
c_1,0.99,0.72,0.4,1.03,0.95,0.72,0.46,0.52,0.26,0.48,0.37,0.37,0.34,0.39,0.36,0.39
d_1,0.98,0.98,0.85,0.39,0.93,0.81,0.46,0.32,0.71,0.43,0.35,0.33,0.33,0.37,0.33,0.25
b_1,0.91,0.97,0.56,0.87,0.37,1.28,0.53,0.49,0.42,0.57,0.4,0.72,0.34,0.4,0.44,0.33
a_1,0.94,0.84,1.21,1.11,0.48,0.3,0.48,0.51,0.37,0.39,0.43,0.6,0.42,0.47,0.64,0.36
h_1,0.81,0.78,0.69,0.74,0.68,0.77,0.25,0.51,0.37,0.37,0.39,0.37,0.38,0.35,0.32,0.35
g_1,0.79,0.82,0.8,0.91,0.89,0.7,0.32,0.23,0.33,0.36,0.44,0.32,0.22,0.3,0.35,0.37
d_0,0.78,0.51,0.93,0.91,0.96,0.78,0.43,0.44,0.27,0.32,0.35,0.35,0.29,0.34,0.38,0.36
c_0,0.83,0.79,1.4,0.47,0.79,0.95,0.43,0.44,0.42,0.25,0.36,0.42,0.31,0.32,0.41,0.31
f_0,1.2,0.67,0.84,0.78,0.87,0.66,0.44,0.28,0.35,0.35,0.24,0.38,0.31,0.35,0.41,0.21
b_0,0.84,0.73,0.97,0.75,1.06,0.61,0.45,0.43,0.34,0.2,0.32,0.23,0.31,0.29,0.42,0.29
h_0,0.86,0.8,0.77,0.73,0.8,0.75,0.53,0.51,0.33,0.32,0.33,0.29,0.36,0.32,0.32,0.28
e_0,1.05,0.93,0.74,0.77,0.74,0.72,0.37,0.43,0.37,0.33,0.21,0.4,0.3,0.21,0.38,0.24
a_0,0.75,0.73,0.86,0.87,0.83,1.07,0.49,0.38,0.31,0.32,0.38,0.2,0.27,0.3,0.2,0.32
g_0,0.81,0.74,0.73,0.71,0.81,0.89,0.34,0.55,0.36,0.32,0.42,0.38,0.24,0.34,0.33,0.37
