,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,1.51,1.67,1.56,1.42,1.57,0.33,0.34,0.61,0.35,0.31,1.84,0.18,0.35,0.46,0.27
e_1,0.89,0.17,1.58,1.86,1.81,2.06,0.52,0.4,0.56,0.4,0.33,0.36,0.24,0.37,2.95,0.28
c_1,1.94,1.69,0.16,1.86,1.78,1.62,0.45,0.18,0.42,0.85,0.31,0.31,0.26,0.31,0.27,0.21
d_1,2.02,1.93,1.63,0.15,1.6,1.64,0.43,1.03,0.31,0.28,0.34,0.35,0.24,0.34,0.23,0.16
b_1,1.55,2.04,0.93,1.82,0.13,1.53,0.59,0.39,0.45,0.39,1.36,0.28,0.26,0.35,0.3,0.26
a_1,1.74,1.78,1.7,1.73,0.88,0.09,0.59,0.39,0.63,0.42,0.42,0.43,0.23,2.82,0.34,0.21
h_1,0.98,0.83,1.13,0.94,0.86,0.88,0.07,0.21,0.3,0.17,0.18,0.17,0.32,0.2,0.19,0.14
d_0,1.16,0.43,1.11,1.92,1.26,0.92,0.3,0.08,0.33,0.18,0.18,0.18,0.16,0.18,0.17,0.15
g_1,1.15,0.91,1.24,0.79,1.08,0.9,0.21,0.2,0.05,0.2,0.24,0.17,0.1,0.21,0.16,0.27
c_0,0.91,0.72,3.15,0.52,1.36,0.95,0.23,0.19,0.32,0.07,0.21,0.22,0.17,0.16,0.16,0.16
b_0,0.87,0.89,1.0,0.72,4.76,1.01,0.24,0.18,0.22,0.09,0.06,0.16,0.1,0.23,0.2,0.15
f_0,4.56,0.79,0.93,1.17,0.73,0.64,0.29,0.18,0.13,0.24,0.18,0.05,0.12,0.19,0.18,0.08
h_0,0.98,1.03,0.98,0.76,0.91,1.02,0.62,0.17,0.26,0.17,0.16,0.15,0.39,0.16,0.14,0.14
a_0,1.0,0.96,1.01,0.83,1.08,,0.27,0.19,0.19,0.17,0.09,0.13,0.13,0.05,0.17,0.16
e_0,1.27,,1.04,1.06,1.25,0.68,0.23,0.15,0.23,0.15,0.15,0.07,0.12,0.16,0.04,0.09
g_0,0.84,0.91,1.02,0.75,0.75,1.34,0.29,0.24,0.56,0.22,0.19,0.2,0.1,0.19,0.28,0.41
