,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12730.32,3239.1,7567.95,4934.97,6602.63,26732.43,5232342.5,6966988.98,10225457.91,11883002.49,19356932.58,10024577.61,86351783.29,58165626.88,53289498.15,236191835.43
d_1,3651.39,12886.83,3614.75,3770.78,6797.68,35398.82,6685812.56,9239480.51,22591116.23,6773751.27,26659301.62,28044554.43,89333922.28,77983086.75,101068505.39,219995699.45
e_1,3716.86,2696.03,16895.66,5921.68,6915.88,30304.61,6095983.14,8644082.18,11256957.85,23076748.48,18660002.72,27539979.66,105061941.52,68427744.55,61865284.03,250432394.05
c_1,3226.59,2930.97,3831.8,21294.16,13774.72,27164.95,6139277.46,7288581.93,4772566.78,11155539.76,15142955.57,23952818.59,84919208.16,61743388.18,77128816.4,243674836.06
b_1,2975.38,3261.82,3653.48,4635.16,35449.26,74989.77,4785512.28,7300037.12,8762591.7,10848876.62,7708672.94,22153447.84,91946533.38,54046048.38,97649397.26,298885043.32
a_1,3446.31,3353.33,3000.93,5113.51,7959.98,247574.42,7316741.24,8854810.02,12888595.4,9956800.7,21546720.57,28012737.19,118000777.94,31951403.6,102469335.49,263236361.69
h_1,5117.37,3887.18,4739.34,6863.71,5752.4,41694.48,19866806.34,13438039.28,14217443.58,13329209.69,30502239.08,27152452.98,72567323.33,82014298.01,106397699.71,437929583.54
g_1,3257.48,6533.39,3741.58,5550.9,8853.49,39023.36,6065295.27,30246087.18,13682003.02,12915786.13,25438352.09,46927451.35,100059139.19,81466736.66,119442058.8,213629392.36
c_0,4760.93,4967.95,4952.82,4302.58,5563.34,35437.43,6995110.14,11099828.56,28286064.5,15917833.72,50175521.75,36679959.58,137490395.92,94414958.39,115267709.12,344776393.84
d_0,4105.5,2058.55,4760.85,11379.72,8317.73,38255.88,7511032.06,10218283.82,10020977.83,28639715.95,29287071.72,31800568.7,107825219.18,85848249.31,106550117.66,281794326.07
b_0,4338.46,5010.67,5014.32,6886.7,4079.25,31644.88,6963568.46,11253814.94,16592332.01,13568187.62,53879192.13,32477441.79,126458171.58,168371901.56,110572111.86,309639631.59
f_0,2668.5,4460.07,3710.51,7605.7,7798.0,41495.3,7381960.79,10220288.14,14381374.25,18863482.66,27064857.46,62421653.47,128499067.8,89145553.1,259411618.31,328577060.01
h_0,5687.27,4860.81,4889.45,5078.41,7571.54,36233.45,3462090.88,14920216.18,17048433.45,14847727.25,23463260.83,28277110.8,86498307.81,76336385.07,105166412.51,421416401.65
a_0,4202.76,4313.42,4924.55,8014.68,7601.79,25190.25,6097524.65,10514409.67,15227278.95,17117552.22,23840830.55,31017656.28,123697367.22,211540327.28,129525752.23,306382919.36
e_0,4550.89,4388.23,3577.74,6145.42,7909.55,46139.38,7917930.06,12644081.05,17426523.7,15002391.08,34456233.04,27848669.72,124942000.17,111516663.55,284825700.55,303044409.52
g_0,3715.18,6540.65,4054.46,5383.2,7599.67,40602.34,6584865.72,7839164.49,14928902.77,11672201.77,28308115.27,49258340.67,115954521.68,69443513.03,122132302.5,208839252.26
