,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.67,1.01,0.66,0.64,0.55,0.45,2.16,2.71,2.2,2.74,2.38,0.64,5.16,3.15,4.27,2.25
e_1,0.69,5.83,0.53,0.62,0.55,0.63,1.91,5.95,2.14,2.65,3.45,3.1,4.69,2.17,4.98,1.16
d_1,0.78,0.59,6.22,0.4,0.58,0.56,2.34,0.43,2.04,6.07,3.36,2.73,4.09,3.99,4.02,2.82
c_1,0.58,0.58,0.59,6.49,1.18,0.53,1.98,2.31,2.27,0.49,2.3,3.87,3.73,3.39,3.74,3.08
b_1,0.57,0.57,0.52,0.71,7.24,1.32,2.11,3.44,2.04,2.54,0.56,2.55,3.33,2.11,4.43,2.53
a_1,0.65,0.58,0.62,0.56,0.44,11.1,3.19,3.34,2.38,2.51,3.93,2.59,5.63,0.79,3.8,2.8
h_1,1.47,1.04,1.19,1.19,0.85,0.53,15.35,3.99,5.18,4.2,4.25,4.31,2.88,4.11,8.89,5.53
d_0,0.9,0.91,0.33,2.37,1.0,1.08,4.78,13.73,3.1,3.98,5.53,5.48,6.26,3.73,8.57,8.08
g_1,0.89,1.07,1.91,0.83,1.08,0.52,3.32,3.78,19.33,5.53,4.96,9.02,7.99,4.94,2.31,5.68
c_0,1.18,1.09,1.05,0.5,0.91,1.28,3.59,4.28,4.21,14.48,10.25,6.27,8.87,6.17,9.02,6.25
b_0,1.2,1.17,1.26,1.07,0.39,0.88,4.1,4.27,3.42,5.36,15.09,5.41,7.98,12.01,7.35,7.09
f_0,0.3,0.83,1.47,1.26,1.1,1.12,4.31,5.61,4.65,5.77,7.27,17.39,8.26,7.13,6.86,14.44
h_0,1.33,1.02,1.34,0.91,1.02,0.88,1.73,4.47,4.41,4.1,5.83,5.06,2.48,5.11,8.37,5.41
a_0,0.96,1.28,1.07,1.2,1.03,0.41,4.43,4.51,3.83,5.13,5.5,5.8,7.83,21.91,9.57,5.34
g_0,0.99,0.89,1.63,1.31,0.86,1.02,3.71,4.18,,4.11,5.63,7.25,7.32,4.21,2.71,5.4
e_0,0.91,0.39,1.06,1.61,1.44,0.9,3.84,5.2,4.2,4.84,8.61,7.22,10.63,4.55,10.36,25.21
