,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.77,1.12,0.58,0.59,0.52,0.51,1.95,2.78,2.07,1.94,2.83,0.79,3.6,3.08,4.06,3.3
e_1,0.58,5.85,0.49,0.78,0.53,0.48,2.41,5.41,1.98,3.1,2.81,3.23,3.77,3.0,4.46,0.69
d_1,0.69,0.53,6.25,0.42,0.62,0.71,2.12,0.75,1.97,5.63,3.18,2.97,5.48,2.19,4.25,2.71
c_1,0.61,0.51,0.54,6.53,1.14,0.65,1.84,2.59,2.4,0.48,2.03,3.52,5.54,3.18,4.14,3.16
b_1,0.54,0.51,0.65,0.7,7.58,1.04,2.11,2.48,2.32,2.37,0.53,2.92,3.82,1.93,4.71,3.04
a_1,0.6,0.59,0.68,0.63,0.47,11.14,2.55,3.0,2.38,2.99,3.4,2.68,4.81,0.58,3.33,2.72
h_1,1.51,0.79,1.07,1.15,0.83,0.85,13.93,5.1,4.5,4.7,4.95,3.91,3.23,4.78,9.22,5.52
d_0,1.19,1.32,0.29,2.03,0.77,0.84,4.26,13.59,2.85,4.79,4.28,5.93,7.54,5.02,8.5,5.08
g_1,1.16,0.76,1.8,0.79,0.84,1.02,3.68,3.88,18.94,4.4,6.1,8.98,6.68,4.53,2.47,4.33
c_0,1.18,1.18,1.35,0.44,0.79,0.98,4.0,4.63,3.19,14.29,11.93,6.84,7.1,8.15,7.49,5.39
b_0,1.06,1.21,0.98,1.07,0.38,0.79,4.81,6.36,4.2,6.96,15.97,6.96,7.64,12.66,7.97,5.7
f_0,0.45,0.96,1.34,1.03,1.28,0.89,4.93,6.0,3.78,6.27,6.79,16.53,8.08,6.53,7.37,9.63
h_0,1.5,0.97,1.08,1.13,1.15,0.79,1.1,3.56,4.8,4.24,6.09,5.72,2.29,4.85,10.26,3.96
a_0,1.09,1.09,1.12,1.16,1.06,0.48,3.49,6.1,4.62,5.86,6.22,7.0,8.69,21.26,8.22,5.86
g_0,0.72,0.88,1.61,1.33,0.97,1.23,2.88,4.2,1.68,4.99,6.19,7.76,8.08,4.93,3.4,4.75
e_0,1.26,0.3,1.29,0.94,1.23,1.07,5.24,4.68,4.13,4.78,8.01,6.33,7.6,5.53,5.66,24.95
