,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.5,1.12,0.65,0.7,0.65,0.54,0.78,0.8,0.77,0.87,0.83,0.52,0.72,0.85,0.53,0.76
e_1,0.76,1.52,0.74,0.87,0.64,0.57,0.88,0.89,0.89,1.42,0.92,0.87,0.8,0.95,0.56,0.82
d_1,0.86,0.74,1.53,0.74,0.62,0.6,0.85,0.71,1.32,0.58,0.93,0.8,0.76,0.88,0.74,0.8
c_1,0.82,0.63,0.71,1.57,1.23,0.55,0.88,0.77,0.56,0.67,0.72,0.83,0.74,0.92,0.7,0.92
b_1,0.84,0.78,0.87,0.6,1.61,0.98,1.0,0.83,0.95,0.82,0.62,0.94,0.66,0.91,0.79,0.78
a_1,0.84,0.78,0.95,0.91,0.68,1.78,0.98,0.78,0.9,0.88,0.85,0.86,0.68,1.01,0.9,1.14
h_1,1.19,0.97,1.04,0.97,0.81,0.78,1.72,1.21,0.91,1.09,1.16,1.11,1.03,1.1,0.86,1.41
g_1,0.85,0.96,1.42,0.96,0.83,0.86,1.08,1.84,1.33,1.15,1.09,1.55,1.01,1.27,1.12,0.85
c_0,1.27,1.03,0.91,0.8,0.8,0.86,1.34,1.0,1.65,1.36,1.93,1.15,1.22,1.27,1.1,1.37
d_0,1.06,0.85,0.88,1.69,0.98,0.84,1.15,1.15,0.86,1.65,1.04,1.21,1.05,1.28,1.08,1.03
b_0,1.09,1.04,1.05,1.22,0.77,0.7,1.34,1.15,0.99,1.37,1.73,1.17,1.82,1.52,1.27,1.31
f_0,1.08,0.97,1.22,1.08,0.95,0.84,1.27,1.01,1.18,1.13,1.25,1.72,1.02,1.38,1.76,1.09
a_0,1.2,1.11,1.18,1.17,1.03,0.51,1.28,1.24,1.26,1.31,1.0,1.21,1.75,1.67,1.15,1.28
h_0,1.36,1.03,1.25,1.06,1.05,0.77,0.94,1.29,1.25,1.2,1.01,1.21,0.98,0.99,1.05,1.42
e_0,1.58,0.82,1.25,1.08,1.05,0.63,1.5,1.07,1.34,1.2,1.21,1.06,1.19,1.62,1.83,1.18
g_0,1.12,0.99,1.53,1.1,1.21,0.8,1.12,0.82,1.2,1.2,1.14,1.72,1.25,1.28,1.18,1.06
