,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.23,0.05,0.03,0.03,0.03,0.02,0.05,0.05,0.06,0.06,0.07,,0.04,0.08,0.07,0.03
e_1,0.03,2.24,0.03,0.02,0.02,0.02,0.05,0.04,0.13,0.07,0.06,0.06,0.05,0.06,0.05,
d_1,0.03,0.02,2.3,0.03,0.02,0.02,0.06,0.04,,0.12,0.07,0.06,0.04,0.1,0.05,0.06
c_1,0.03,0.04,0.03,2.37,0.05,0.02,0.04,0.06,0.05,,0.05,0.05,0.06,0.09,0.07,0.03
b_1,0.02,0.03,0.03,0.03,2.56,0.05,0.06,0.04,0.06,0.04,,0.07,0.05,0.1,0.07,0.04
a_1,0.03,0.03,0.04,0.02,0.02,2.94,0.08,0.06,0.06,0.06,0.05,0.05,,0.07,0.05,
h_1,0.15,0.1,0.1,0.12,0.08,0.07,2.7,0.22,0.32,0.24,0.22,0.22,0.13,,0.38,0.14
g_1,0.11,0.11,0.23,0.12,0.1,0.06,0.22,2.97,0.13,0.25,0.16,0.26,0.12,0.29,,
d_0,0.11,0.14,,0.27,0.11,0.12,0.33,0.24,1.97,0.37,0.26,0.34,0.27,0.41,0.32,0.22
c_0,0.17,0.17,0.13,,0.12,0.08,0.28,0.29,0.33,2.09,0.6,0.23,0.27,0.38,0.28,
b_0,0.15,0.15,0.13,0.14,,0.12,0.31,0.21,0.37,0.24,2.19,0.21,0.46,0.42,0.38,0.25
f_0,,0.14,0.11,0.17,0.17,0.13,0.29,0.24,0.35,0.33,0.24,2.23,0.19,0.4,0.33,
a_0,0.14,0.12,0.13,0.08,0.1,,0.28,0.27,0.34,0.29,0.29,0.3,2.72,0.5,0.36,
h_0,0.39,0.18,0.16,0.24,0.22,0.11,,0.53,0.33,0.36,0.39,0.5,0.45,,0.74,0.39
g_0,0.19,0.24,0.34,0.19,0.18,0.19,0.43,,0.58,0.45,0.32,0.62,0.28,0.44,,0.34
e_0,0.17,,0.13,0.16,0.15,,0.25,,0.37,,0.36,,,0.35,0.32,3.03
