,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.68,0.4,0.46,0.39,0.25,0.28,0.29,0.26,0.23,0.25,0.13,0.2,0.15,0.14,0.19
e_1,0.5,0.95,0.4,0.5,0.33,0.31,0.33,0.48,0.25,0.28,0.23,0.25,0.25,0.2,0.18,0.21
d_1,0.59,0.5,0.95,0.32,0.36,0.31,0.32,0.22,0.24,0.48,0.28,0.23,0.28,0.24,0.23,0.18
c_1,0.5,0.45,0.49,0.95,0.64,0.26,0.33,0.28,0.24,0.16,0.22,0.22,0.27,0.18,0.18,0.18
b_1,0.47,0.56,0.55,0.41,0.94,0.59,0.35,0.3,0.26,0.27,0.17,0.21,0.21,0.15,0.14,0.21
a_1,0.64,0.54,0.59,0.56,0.35,0.93,0.37,0.33,0.32,0.34,0.33,0.34,0.3,0.21,0.27,0.29
h_1,1.01,0.65,0.77,0.69,0.55,0.41,0.76,0.47,0.58,0.43,0.38,0.32,0.32,0.3,0.33,0.38
d_0,0.89,0.67,0.5,1.21,0.67,0.44,0.52,0.67,0.39,0.39,0.35,0.41,0.41,0.29,0.35,0.38
g_1,0.77,0.72,1.09,0.74,0.67,0.44,0.42,0.47,0.74,0.4,0.47,0.56,0.37,0.36,0.32,0.28
c_0,0.94,0.71,0.72,0.68,0.61,0.51,0.6,0.49,0.6,0.68,0.72,0.42,0.44,0.41,0.35,0.39
b_0,0.92,0.94,0.91,0.86,0.48,0.38,0.64,0.57,0.51,0.42,0.64,0.45,0.4,0.65,0.4,0.35
f_0,0.76,0.75,1.05,0.86,0.85,0.49,0.56,0.5,0.48,0.53,0.49,0.63,0.51,0.38,0.63,0.36
h_0,1.19,0.84,0.84,0.83,0.77,0.62,0.48,0.56,0.59,0.53,0.5,0.42,0.39,0.37,0.4,0.47
a_0,1.1,0.91,0.95,0.94,0.85,0.3,0.68,0.59,0.5,0.58,0.43,0.44,0.48,0.61,0.39,0.38
e_0,1.08,0.61,0.98,0.86,0.99,0.56,0.69,0.63,0.59,0.57,0.51,0.39,0.49,0.34,0.64,0.55
g_0,0.87,0.79,1.38,0.94,0.8,0.54,0.63,0.51,0.53,0.54,0.52,0.69,0.46,0.44,0.39,0.37
