,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.14,14.43,6.39,11.25,10.53,10.71,3.24,2.64,2.3,5.03,2.56,2.23,1.38,1.88,8.8,2.89
d_1,17.26,1.13,12.14,14.82,10.41,11.81,3.34,16.83,1.91,1.85,2.27,1.78,1.8,0.88,2.3,1.91
f_1,10.58,11.97,1.14,12.02,10.12,10.95,2.82,2.04,2.26,3.67,2.31,11.19,1.15,3.02,2.6,2.44
c_1,10.36,14.49,11.04,1.14,15.04,11.01,3.0,1.21,10.52,3.07,2.64,2.87,1.98,1.64,2.47,2.14
b_1,13.29,16.04,20.06,7.08,1.14,21.9,3.96,3.17,3.14,3.99,10.4,2.25,2.45,1.93,2.76,3.02
a_1,27.95,22.99,16.63,27.14,10.69,1.15,6.26,4.31,3.96,9.62,5.99,4.3,3.29,2.95,3.44,15.09
h_1,27.95,27.81,29.4,22.43,33.06,22.93,1.93,6.76,7.08,8.96,3.98,4.75,11.26,3.78,5.01,5.27
d_0,15.38,98.51,42.1,34.69,35.99,29.09,9.56,2.67,6.8,10.06,8.24,5.59,4.86,5.67,7.08,5.11
c_0,37.87,14.99,38.75,129.42,40.04,31.95,9.9,8.62,2.59,10.38,5.7,6.71,4.65,5.58,7.22,6.04
g_1,30.63,33.48,42.1,36.58,32.68,31.44,7.36,9.08,9.48,1.93,7.8,7.9,3.54,13.96,6.56,6.78
b_0,39.13,30.25,41.59,43.7,109.35,37.48,9.56,6.83,3.6,9.34,2.46,6.71,5.04,5.85,6.22,7.38
f_0,35.22,34.83,189.44,40.06,43.08,38.98,11.56,11.31,6.94,6.96,7.91,2.86,6.79,4.12,5.73,6.26
h_0,45.74,44.21,48.03,60.09,53.64,57.32,41.6,11.69,10.35,19.82,11.4,10.53,17.12,7.89,7.08,6.92
g_0,45.15,65.06,69.59,67.3,66.12,60.91,14.86,15.0,12.02,31.14,12.35,9.76,7.93,24.2,9.5,11.45
e_0,167.71,38.74,64.34,56.08,109.35,67.21,17.33,18.65,10.52,13.91,11.86,6.8,9.11,9.55,2.69,7.55
a_0,58.7,55.61,71.04,65.98,101.54,,16.64,11.69,13.2,21.8,6.74,14.13,11.89,11.34,15.04,3.25
