,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,1.34,1.39,1.79,3.15,18.28,35.2,36.35,37.25,44.23,62.15,69.02,85.58,111.55,138.32
e_1,0.74,1.0,1.37,1.23,1.72,3.3,18.25,40.28,35.09,32.89,38.37,66.36,70.76,74.55,119.32,119.87
c_1,0.73,0.73,1.0,1.16,1.81,2.78,14.97,18.72,26.43,24.76,28.04,43.0,65.45,61.49,70.82,93.03
d_1,0.72,0.8,0.85,1.0,1.21,2.34,13.47,22.24,22.11,31.93,33.05,40.39,55.35,61.09,70.43,69.93
b_1,0.55,0.58,0.55,0.85,1.0,2.86,11.61,16.49,19.35,21.29,23.86,33.49,47.58,39.86,59.95,66.15
a_1,0.31,0.3,0.37,0.42,0.36,1.0,6.23,9.26,11.11,10.95,14.33,17.6,23.9,23.83,33.87,35.9
h_1,0.05,0.05,0.07,0.07,0.09,0.16,1.0,1.69,1.9,1.79,2.22,2.82,4.11,4.25,6.26,7.18
d_0,0.03,0.02,0.06,0.04,0.06,0.11,0.58,1.0,1.27,0.96,1.35,1.8,2.72,2.77,4.11,3.7
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.52,0.8,1.0,1.0,1.16,1.86,2.01,2.5,3.05,3.49
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.54,1.04,0.99,1.0,1.63,1.81,2.63,2.88,3.19,3.38
b_0,0.02,0.03,0.04,0.03,0.04,0.07,0.46,0.76,0.82,0.61,1.0,1.47,2.05,2.93,2.76,2.78
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.34,0.54,0.51,0.58,0.67,1.0,1.47,1.59,2.84,1.58
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.37,0.5,0.4,0.51,0.68,1.0,0.91,1.39,1.61
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.37,0.4,0.37,0.35,0.63,1.05,1.0,1.28,1.51
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.24,0.33,0.32,0.38,0.34,0.74,0.78,1.01,0.94
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.26,0.28,0.3,0.37,0.61,0.62,0.65,1.05,1.0
