,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.28,0.91,0.5,0.47,0.37,0.29,0.8,0.89,0.75,0.95,0.34,0.87,0.6,1.3,0.58,1.09
e_1,0.51,2.28,0.38,0.57,0.49,0.38,0.94,1.96,0.78,0.99,1.02,0.97,0.94,1.25,0.33,0.96
d_1,0.53,0.6,2.4,0.34,0.34,0.4,0.91,0.44,0.76,1.96,1.03,1.17,0.81,1.16,1.01,1.11
c_1,0.5,0.39,0.43,2.43,0.83,0.33,0.87,1.14,0.67,0.32,0.97,0.75,0.81,1.17,0.93,1.28
b_1,0.57,0.39,0.53,0.45,2.55,0.69,0.83,0.91,0.75,0.79,1.11,0.32,0.75,1.1,0.9,0.99
a_1,0.59,0.47,0.48,0.5,0.46,3.1,0.95,1.08,0.74,0.94,0.94,1.04,0.43,1.0,0.8,0.91
h_1,0.81,0.56,0.65,0.59,0.5,0.37,2.96,1.08,1.38,1.28,1.03,1.03,0.98,0.89,0.79,1.8
d_0,0.62,0.54,0.3,1.26,0.53,0.28,1.17,2.45,0.88,0.9,1.06,1.24,1.01,1.51,0.99,1.55
g_1,0.45,0.57,1.03,0.47,0.5,0.45,1.07,1.02,3.31,0.97,1.53,1.23,1.04,1.51,1.03,0.85
c_0,0.78,0.57,0.61,0.3,0.43,0.44,1.33,1.16,1.13,2.6,1.44,2.41,1.56,1.59,1.16,1.44
f_0,0.38,0.52,0.7,0.73,0.52,0.45,1.2,1.33,1.08,1.35,2.74,1.42,1.36,1.68,2.36,1.33
b_0,0.72,0.59,0.72,0.61,0.34,0.22,1.24,1.15,0.95,1.29,1.35,2.86,2.61,1.59,0.97,1.36
a_0,0.63,0.61,0.77,0.57,0.57,0.12,1.3,1.15,1.08,1.24,1.43,1.09,2.79,1.57,1.12,1.45
h_0,0.85,0.59,0.73,0.7,0.49,0.39,0.61,1.2,1.15,1.2,1.08,1.13,0.98,0.68,1.07,1.83
e_0,0.55,0.32,0.68,0.73,0.64,0.54,1.14,1.14,0.99,1.19,1.21,1.15,1.26,1.59,2.99,1.33
g_0,0.49,0.59,0.97,0.62,0.41,0.43,1.23,1.11,0.57,1.08,2.2,1.05,1.06,1.42,1.19,0.75
