,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.73,0.87,0.98,0.99,0.65,0.6,0.43,0.58,0.34,0.43,0.34,0.35,0.29,0.32,
f_1,1.36,1.0,0.92,0.92,0.84,0.67,0.41,0.46,0.43,0.55,0.36,,0.28,0.3,0.28,0.3
d_1,1.15,1.09,1.0,0.81,0.94,0.89,0.49,0.33,,0.63,0.45,0.39,0.39,0.21,0.37,0.35
c_1,1.02,1.09,1.23,1.0,1.14,0.76,0.65,0.5,0.38,,0.29,0.35,0.43,0.34,0.3,0.24
b_1,1.01,1.19,1.07,0.87,1.0,0.93,0.5,0.55,0.42,0.62,,0.43,0.43,0.33,0.34,0.32
a_1,1.53,1.49,1.13,1.31,1.08,1.0,0.78,0.7,0.66,0.51,0.48,0.48,0.44,0.42,,
h_1,1.67,2.43,2.05,1.53,2.0,1.28,1.0,0.82,0.88,0.68,0.72,1.0,,0.82,0.7,0.65
g_1,2.31,2.18,3.02,2.01,1.81,1.43,1.22,1.0,1.04,0.73,0.74,1.02,0.73,,0.83,0.67
d_0,1.73,2.34,,2.67,2.36,1.51,1.13,0.96,1.0,0.88,0.86,1.01,0.8,0.82,0.73,0.62
c_0,2.97,1.83,1.59,,1.62,1.96,1.46,1.37,1.14,1.0,1.4,1.02,0.78,1.03,0.59,
b_0,2.3,2.75,2.2,3.5,,2.08,1.38,1.35,1.17,0.72,1.0,1.05,0.96,0.84,0.87,0.9
f_0,2.91,,2.57,2.84,2.32,2.08,1.0,0.98,0.99,0.98,0.96,1.0,1.03,0.71,0.99,
h_0,2.85,3.59,2.54,2.35,2.31,2.25,,1.37,1.25,1.28,1.04,0.97,,1.08,0.76,1.05
g_0,3.45,3.35,4.78,2.96,3.06,2.36,1.22,,1.22,0.97,1.2,1.41,0.93,,,0.85
a_0,3.15,3.64,2.71,3.33,2.9,,1.43,1.21,1.38,1.7,1.14,1.01,1.32,,1.0,
e_0,,3.3,2.83,4.09,3.08,,1.55,1.5,1.62,,1.11,,0.95,1.18,,1.0
