,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,36.14,0.06,0.08,0.05,0.06,,0.32,0.29,0.64,,0.39,0.39,0.61,0.41,0.42,0.64
e_1,0.05,37.2,0.06,0.08,0.05,0.09,0.25,0.27,0.29,0.74,0.43,0.25,0.62,0.47,,0.49
f_1,0.07,0.12,37.94,0.09,0.07,0.07,0.24,0.22,0.36,0.34,0.41,,0.62,0.36,0.33,0.32
c_1,0.08,0.08,0.06,45.5,0.12,0.06,0.32,0.28,,0.4,0.3,0.45,0.56,,,0.72
b_1,0.06,0.07,0.06,0.06,52.26,0.12,0.36,0.3,0.37,0.38,,0.31,0.33,0.3,0.51,0.64
a_1,0.06,0.07,0.07,0.05,,74.43,0.24,0.33,0.24,0.47,0.29,0.54,0.69,,0.4,0.59
h_1,0.25,0.2,0.32,0.23,0.34,0.31,26.4,1.5,1.19,1.59,1.24,1.22,,1.19,1.5,3.3
g_1,0.38,0.21,0.13,0.32,0.3,0.22,0.85,33.09,1.59,1.09,1.49,2.3,2.11,1.15,1.79,
c_0,0.36,0.35,0.38,,0.26,0.36,1.23,1.18,15.22,2.02,4.69,2.06,3.71,1.77,1.63,2.62
d_0,,0.27,0.38,0.73,0.43,0.4,1.56,1.43,1.73,17.71,2.02,1.79,2.86,1.58,2.61,2.48
b_0,0.3,0.43,0.34,0.25,,0.21,1.68,1.26,2.38,1.41,19.42,1.28,3.2,4.38,1.29,3.86
f_0,0.4,0.25,,0.28,0.31,0.49,1.79,1.21,2.0,1.93,1.87,19.78,3.52,2.41,4.07,2.17
h_0,0.44,0.59,0.81,0.55,0.76,0.3,,3.41,3.45,3.21,1.71,2.24,,2.93,2.56,5.22
a_0,0.27,0.29,0.36,0.39,0.26,,1.91,1.33,3.18,1.39,1.66,2.32,3.98,26.21,,2.34
e_0,0.42,,0.34,0.34,0.27,,1.52,1.18,2.01,2.65,1.5,2.38,3.32,1.74,29.78,2.91
g_0,0.97,0.41,0.5,0.41,0.47,0.74,2.28,,3.52,2.41,1.83,5.74,3.08,2.68,2.07,
