,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.5,0.39,0.38,0.51,0.5,0.42,0.59,0.82,0.53,0.61,0.49,0.53,0.57,0.59,0.52,0.27
f_1,0.85,1.52,0.47,0.45,0.41,0.28,0.4,0.57,0.39,0.49,0.5,0.22,0.55,0.4,0.57,0.27
d_1,0.5,0.51,1.54,0.39,0.44,0.4,0.58,0.34,0.4,0.88,0.66,0.55,0.61,0.43,0.51,0.41
c_1,0.43,0.46,0.5,1.54,0.68,0.4,0.56,0.5,0.51,0.22,0.41,0.46,0.58,0.42,0.53,0.47
b_1,0.45,0.45,0.53,0.42,1.57,0.63,0.6,0.54,0.49,0.56,0.27,0.59,0.55,0.39,0.54,0.55
a_1,0.45,0.56,0.52,0.52,0.46,1.73,0.52,0.65,0.58,0.66,0.65,0.68,0.65,0.23,0.45,0.52
h_1,0.66,1.04,0.74,0.69,0.61,0.61,1.7,1.03,0.99,0.72,0.67,0.75,0.62,0.77,1.35,0.78
d_0,0.67,0.81,0.33,1.28,0.72,0.63,0.75,1.48,0.63,0.75,0.92,0.84,1.08,0.64,0.8,0.79
g_1,0.59,0.83,1.15,0.7,0.67,0.41,0.76,0.93,1.81,0.84,0.88,1.2,0.81,0.73,0.66,0.94
c_0,0.73,1.0,0.69,0.67,0.69,0.69,1.03,1.1,0.84,1.5,1.52,0.87,1.08,0.81,0.94,0.73
b_0,0.86,0.9,0.67,0.96,0.45,0.42,1.05,0.95,0.84,0.71,1.62,1.02,1.14,1.5,0.86,0.67
f_0,0.76,0.55,0.91,0.97,0.71,0.53,1.01,1.0,0.84,0.94,0.88,1.58,1.09,0.76,1.04,1.3
h_0,0.87,1.07,0.76,0.93,0.76,0.51,0.56,0.91,1.03,0.8,0.92,0.78,0.56,0.77,0.96,0.89
a_0,0.73,0.97,0.9,0.89,0.68,,1.02,1.2,1.11,0.94,0.71,1.13,1.36,1.7,1.19,0.89
g_0,0.72,0.77,1.25,0.81,0.79,0.63,0.68,1.03,0.55,0.88,0.94,1.26,1.01,0.69,0.72,0.83
e_0,0.42,1.36,1.04,0.94,0.54,0.62,0.9,0.91,0.77,1.07,1.23,0.72,1.0,0.85,0.96,1.74
