,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.21,1.24,1.01,0.93,0.89,0.48,0.34,0.43,0.48,0.41,0.37,0.29,0.34,0.34,0.22
e_1,1.12,0.65,0.72,1.26,1.17,0.98,0.53,0.54,0.4,0.46,0.39,0.53,0.34,0.38,0.48,0.37
f_1,1.0,1.24,0.65,1.14,1.0,0.84,0.38,0.64,0.39,0.4,0.38,0.42,0.25,0.37,0.33,0.31
c_1,1.36,0.97,1.12,0.63,1.31,1.04,0.51,0.47,0.48,0.27,0.4,0.45,0.31,0.35,0.36,0.37
b_1,1.29,1.1,1.36,0.74,0.61,1.47,0.57,0.54,0.49,0.45,0.6,0.44,0.35,0.43,0.48,0.4
a_1,1.5,1.3,1.68,1.27,0.78,0.57,0.66,0.63,0.54,0.58,0.64,0.43,0.54,0.61,0.49,0.44
h_1,1.58,1.72,2.23,1.68,1.48,1.37,0.55,0.8,0.67,0.69,0.62,0.53,0.63,0.5,0.53,0.53
g_1,1.99,1.77,1.88,1.9,1.82,1.61,0.69,0.53,0.7,0.61,0.67,0.65,0.45,0.62,0.68,0.54
c_0,1.3,2.03,1.9,2.66,1.88,1.83,0.9,0.83,0.57,0.95,0.77,0.64,0.55,0.61,0.64,0.51
d_0,2.35,1.31,1.94,2.41,2.16,1.56,0.93,1.02,0.65,0.58,0.69,0.77,0.64,0.66,0.74,0.65
b_0,1.6,2.0,1.96,2.58,2.17,1.82,0.89,0.93,0.48,0.87,0.55,0.67,0.7,0.8,0.67,0.6
f_0,1.87,1.63,2.75,1.92,2.06,1.94,1.01,0.68,0.72,0.74,0.78,0.55,0.67,0.69,0.87,0.46
h_0,2.27,2.05,2.39,2.33,2.32,1.61,1.12,1.03,0.81,0.76,0.72,0.69,0.74,0.73,0.65,0.74
a_0,2.08,2.16,2.34,2.69,2.89,2.52,1.18,0.93,0.73,0.87,0.51,0.81,0.62,0.55,0.73,0.6
e_0,2.19,2.58,2.95,2.74,1.96,1.7,0.99,0.85,0.84,0.78,0.85,0.47,0.81,0.87,0.54,0.64
g_0,2.37,2.24,2.89,2.26,2.22,1.94,0.88,1.22,0.88,0.85,0.81,0.95,0.58,0.84,0.78,0.7
