,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.53,0.61,0.59,0.61,0.62,0.49,2.05,2.01,5.46,3.06,2.94,3.09,3.76,2.85,5.2,0.88
f_1,1.13,5.69,0.57,0.5,0.52,0.64,1.94,1.72,2.58,2.77,3.37,0.43,4.09,2.73,3.98,2.89
d_1,0.59,0.65,6.47,0.54,0.47,0.71,2.49,2.21,0.57,5.64,2.72,2.94,5.09,2.86,4.29,2.69
c_1,0.55,0.5,0.54,6.54,1.21,0.47,2.39,2.14,3.37,0.65,2.05,3.47,4.73,2.74,3.46,3.25
b_1,0.56,0.7,0.65,0.52,7.75,1.05,1.97,2.6,2.04,2.8,0.57,3.15,3.8,2.33,2.73,3.23
a_1,0.53,0.55,0.66,0.63,0.59,11.3,2.33,2.1,2.69,2.59,2.53,3.59,4.94,,3.6,2.79
h_1,0.84,1.73,1.03,0.99,0.85,0.7,15.09,4.99,5.19,4.61,5.96,4.73,3.23,5.0,7.47,5.66
g_1,0.93,0.97,1.63,1.1,0.8,1.0,3.76,17.76,3.6,3.06,5.34,7.35,7.61,5.25,4.15,4.81
d_0,0.8,1.04,0.37,2.24,1.18,0.99,3.43,3.41,12.81,4.59,5.53,4.32,7.54,6.19,7.25,5.58
c_0,1.15,1.3,1.13,0.48,0.83,0.95,3.81,3.8,5.62,14.3,11.24,4.08,9.06,5.82,8.42,6.76
b_0,1.02,1.21,1.3,1.38,0.19,0.58,4.58,4.37,4.53,4.51,15.94,5.0,7.86,11.68,8.77,6.0
f_0,0.92,0.33,1.31,1.42,1.09,1.01,3.96,4.78,5.83,5.77,6.17,16.86,8.55,5.61,9.11,13.76
h_0,0.98,1.54,1.17,1.09,1.03,0.86,1.08,4.73,3.36,3.82,5.41,5.05,2.16,4.79,12.94,5.04
a_0,1.06,1.06,0.97,1.51,0.91,,4.11,3.47,6.83,6.02,5.78,3.89,8.98,22.77,9.45,5.0
g_0,0.7,1.32,1.72,0.94,0.85,1.01,3.23,2.33,3.62,4.04,7.22,7.42,6.98,6.05,4.52,6.59
e_0,0.36,1.15,1.28,1.18,1.09,1.15,5.57,3.21,7.11,5.93,7.09,5.92,8.46,7.0,10.69,25.48
