,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.44,0.96,1.86,1.95,1.79,1.71,0.55,0.46,0.33,0.37,0.39,0.41,0.27,0.93,0.31,0.39
f_1,1.64,0.43,1.48,1.57,1.82,1.67,0.34,0.53,0.36,0.33,0.58,0.39,0.21,0.32,0.32,0.3
d_1,2.21,1.91,0.42,1.96,1.84,1.38,0.51,0.32,0.29,0.82,0.37,0.3,0.22,0.32,0.16,0.27
c_1,1.33,2.03,2.17,0.41,1.9,1.82,0.5,0.63,0.71,0.2,0.31,0.38,0.25,0.29,0.24,0.37
b_1,1.99,2.45,2.16,1.04,0.38,1.94,0.7,0.83,0.53,0.42,0.41,0.84,0.34,0.4,0.32,0.45
a_1,2.9,2.44,2.2,2.23,1.16,0.34,0.71,0.58,0.49,0.47,0.54,0.64,0.3,0.45,0.37,1.17
h_1,2.86,3.01,2.74,2.72,2.44,2.47,0.32,0.76,0.61,0.69,0.6,0.57,0.68,0.54,0.39,0.47
g_1,3.11,3.36,3.24,3.67,3.17,2.7,0.65,0.3,0.62,0.7,0.79,0.64,0.36,0.62,0.67,0.64
c_0,3.58,3.14,1.71,6.63,3.56,3.13,1.01,0.81,0.37,1.05,0.71,0.65,0.5,0.6,0.47,0.86
d_0,1.75,3.31,5.58,3.23,3.45,3.52,0.91,1.05,0.69,0.39,0.62,0.75,0.45,0.83,0.59,0.74
f_0,2.96,5.61,3.25,3.64,3.39,3.16,1.06,0.62,0.59,0.71,0.34,0.71,0.53,0.64,0.29,0.63
b_0,3.03,3.35,2.88,4.7,7.47,3.96,0.95,0.9,0.38,0.82,0.64,0.33,0.48,0.67,0.54,0.63
h_0,3.7,3.9,3.23,3.71,4.29,3.14,1.74,1.32,0.88,0.83,0.85,0.79,0.86,0.71,0.6,0.73
e_0,6.74,5.55,3.9,4.32,2.96,4.37,0.97,1.04,0.67,0.9,0.4,0.7,0.73,0.31,0.42,0.89
g_0,3.68,4.9,4.07,4.32,4.43,4.16,1.08,1.63,0.86,0.88,0.82,0.79,0.46,0.82,0.74,0.86
a_0,4.11,4.54,4.32,4.09,4.7,9.65,1.37,1.06,0.73,1.05,0.92,0.39,0.57,1.03,0.66,0.3
