,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.42,1.22,0.54,0.56,0.52,0.38,0.77,0.85,0.87,0.87,0.89,0.31,0.92,0.85,0.67,0.76
e_1,0.72,14.98,0.45,0.61,0.56,0.61,0.9,1.96,0.77,0.76,1.19,0.91,1.11,0.88,0.6,0.91
d_1,0.57,0.56,18.86,0.43,0.57,0.5,0.81,0.42,2.51,0.9,1.05,1.3,1.05,1.25,1.01,1.13
c_1,0.49,0.47,0.58,17.46,1.35,0.61,0.77,0.76,0.29,0.71,0.63,0.85,0.82,0.95,0.99,0.87
b_1,0.46,0.55,0.45,0.6,19.22,1.36,1.06,0.91,0.75,0.81,0.44,1.15,0.98,0.53,0.89,1.06
a_1,0.56,0.52,0.79,0.62,0.42,28.61,0.91,0.87,0.79,1.14,0.74,0.98,0.92,0.43,1.17,0.88
h_1,1.28,0.48,0.89,0.73,0.56,0.62,4.98,1.06,1.04,1.6,1.18,1.04,0.51,1.36,1.25,1.62
d_0,0.76,0.5,0.36,2.3,0.69,0.72,1.38,2.75,0.84,1.21,1.05,1.22,1.34,1.19,1.17,1.06
c_0,0.9,0.81,0.78,0.58,0.43,0.68,1.19,0.91,3.29,1.19,3.52,1.17,1.27,1.97,1.33,1.32
g_1,0.54,0.61,1.73,0.82,0.61,0.51,1.0,1.08,0.96,6.43,1.28,2.34,1.25,0.9,1.29,0.76
b_0,0.92,0.58,0.98,0.93,0.31,0.62,1.19,1.51,1.23,1.06,3.71,1.06,1.36,3.4,1.25,1.1
f_0,0.45,0.38,1.01,0.95,0.76,0.65,1.56,0.98,1.53,1.23,1.36,4.44,1.32,1.37,3.51,1.62
h_0,1.34,0.67,0.81,0.64,0.63,0.86,0.46,0.95,0.95,1.68,1.16,1.11,0.66,0.79,1.08,1.61
a_0,1.0,0.62,0.9,0.82,0.63,0.28,1.5,1.21,1.39,1.26,1.44,1.2,1.38,4.56,1.09,1.37
e_0,0.76,0.32,0.95,0.92,0.74,0.84,1.71,0.99,1.34,1.13,1.51,0.94,1.33,1.2,4.54,1.71
g_0,0.69,0.46,1.77,0.64,0.48,0.84,1.16,0.73,1.17,0.76,1.71,2.11,1.24,1.13,1.45,0.84
