,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.55,0.47,0.62,0.47,0.34,0.35,0.54,0.32,0.32,0.35,0.34,0.34,0.25,0.2,0.25
f_1,0.86,0.95,0.49,0.51,0.4,0.32,0.36,0.38,0.33,0.3,0.33,0.24,0.26,0.22,0.17,0.28
d_1,0.62,0.62,0.96,0.39,0.47,0.38,0.4,0.27,0.56,0.29,0.38,0.34,0.32,0.26,0.23,0.26
c_1,0.52,0.56,0.58,0.95,0.79,0.4,0.37,0.33,0.24,0.28,0.29,0.3,0.31,0.21,0.24,0.28
b_1,0.58,0.63,0.57,0.48,0.95,0.71,0.4,0.38,0.39,0.4,0.31,0.37,0.32,0.22,0.26,0.26
a_1,0.72,0.82,0.61,0.61,0.43,0.94,0.48,0.46,0.38,0.28,0.39,0.33,0.37,0.23,0.3,0.35
h_1,0.83,1.07,0.87,0.73,0.63,0.47,0.79,0.51,0.55,0.59,0.49,0.48,0.4,0.38,0.3,0.49
d_0,0.83,0.95,0.71,1.25,0.76,0.55,0.55,0.71,0.44,0.49,0.46,0.48,0.51,0.36,0.35,0.43
c_0,1.01,1.09,0.8,0.69,0.67,0.62,0.66,0.57,0.72,0.51,0.81,0.5,0.49,0.45,0.37,0.45
g_1,0.8,0.84,1.29,0.8,0.58,0.66,0.56,0.5,0.55,0.79,0.49,0.66,0.43,0.31,0.45,0.38
b_0,1.01,0.96,0.92,0.92,0.59,0.53,0.66,0.6,0.54,0.55,0.71,0.52,0.53,0.66,0.38,0.46
f_0,0.79,0.88,1.01,0.98,0.69,0.67,0.63,0.62,0.63,0.52,0.59,0.73,0.57,0.42,0.67,0.42
h_0,1.05,1.28,0.96,0.95,0.85,0.61,0.66,0.62,0.63,0.76,0.6,0.57,0.48,0.41,0.43,0.59
a_0,1.18,1.15,1.07,0.93,0.82,0.44,0.76,0.6,0.62,0.67,0.52,0.64,0.64,0.66,0.39,0.51
e_0,0.91,1.29,1.08,0.9,0.89,0.68,0.84,0.68,0.72,0.59,0.75,0.56,0.57,0.49,0.67,0.51
g_0,1.04,0.93,1.36,0.93,0.88,0.6,0.65,0.56,0.67,0.51,0.64,0.82,0.55,0.53,0.5,0.45
