,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.96,0.84,1.17,1.52,2.72,18.06,38.54,25.59,38.49,33.24,45.53,66.73,118.34,97.48,129.38
d_1,1.04,1.0,1.04,1.08,1.31,2.98,17.48,30.46,33.61,21.34,35.94,38.17,74.07,63.33,108.72,104.71
f_1,1.19,0.97,1.0,1.08,1.12,3.29,15.18,20.16,23.51,26.65,30.8,35.88,56.07,115.34,91.45,110.79
c_1,0.86,0.93,0.93,1.0,2.22,2.5,17.64,16.25,22.53,24.47,29.12,44.76,62.81,79.68,95.67,91.14
b_1,0.66,0.77,0.89,0.45,1.0,3.68,10.84,16.98,17.38,20.07,21.09,23.64,50.03,56.41,49.07,64.08
a_1,0.37,0.34,0.3,0.4,0.27,1.0,6.29,8.58,8.61,12.04,12.98,14.19,20.33,28.24,22.76,33.67
h_1,0.06,0.06,0.07,0.06,0.09,0.16,1.0,1.58,1.64,2.01,1.68,2.24,3.78,5.52,4.93,6.81
d_0,0.02,0.03,0.05,0.06,0.06,0.12,0.66,1.0,0.91,1.03,1.56,1.35,2.54,3.67,3.35,4.35
c_0,0.04,0.03,0.04,0.05,0.06,0.11,0.6,1.05,1.0,1.02,1.74,1.76,2.36,3.84,3.99,4.33
g_1,0.03,0.05,0.04,0.04,0.05,0.08,0.49,0.97,1.04,1.0,1.3,1.99,1.68,4.08,3.34,3.72
b_0,0.03,0.03,0.03,0.04,0.05,0.07,0.6,0.63,0.56,0.79,1.0,1.19,1.84,2.82,2.38,4.92
f_0,0.02,0.03,0.03,0.02,0.04,0.07,0.43,0.72,0.59,0.49,0.81,1.0,1.68,2.13,2.56,2.3
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.28,0.38,0.39,0.61,0.54,0.61,1.0,1.53,1.1,1.25
g_0,0.01,0.02,0.01,0.01,0.02,0.03,0.18,0.27,0.25,0.26,0.33,0.5,0.64,1.0,0.84,1.06
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.32,0.27,0.28,0.41,0.39,0.86,1.22,1.0,0.91
a_0,0.01,0.01,0.01,0.01,0.02,,0.16,0.24,0.22,0.29,0.21,0.41,0.78,0.86,0.98,1.0
