,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.52,2.24,2.46,2.16,2.06,0.97,0.93,0.73,0.83,0.61,0.72,0.53,0.57,0.56,0.86
f_1,2.36,1.06,1.94,2.16,2.39,2.15,0.71,0.71,0.71,0.83,0.68,0.87,0.39,0.68,0.64,0.59
d_1,2.48,2.54,1.06,2.7,2.01,1.81,0.82,1.09,0.77,0.61,0.71,0.61,0.51,0.63,0.32,0.5
c_1,2.08,2.62,2.41,1.06,2.86,1.91,0.95,0.49,0.85,0.88,0.64,0.66,0.57,0.6,0.53,0.59
b_1,2.78,2.78,3.25,1.56,1.07,2.78,1.04,0.79,0.95,1.13,1.07,0.69,0.66,0.74,0.58,0.68
a_1,3.94,3.86,3.67,3.57,1.99,1.07,1.46,1.1,1.06,1.58,1.53,0.92,0.86,1.49,0.91,0.82
h_1,5.98,6.48,5.7,6.43,5.55,4.31,1.33,1.91,1.69,2.29,1.82,1.39,1.68,1.39,1.45,1.28
d_0,4.16,7.13,10.5,7.89,6.94,5.59,2.58,1.53,1.98,2.59,2.11,1.88,1.59,1.63,1.74,1.82
c_0,6.72,7.04,4.66,10.58,6.35,6.01,2.62,2.79,1.51,2.64,2.36,2.08,1.43,2.18,1.48,1.79
g_1,7.02,6.45,8.57,7.27,6.79,5.78,1.97,1.88,1.96,1.35,1.91,2.28,1.24,1.57,1.85,1.54
b_0,7.6,7.32,6.8,10.46,10.6,5.27,2.97,2.25,1.32,2.7,1.51,2.02,2.04,2.43,1.57,2.07
f_0,8.61,13.5,8.41,9.21,8.89,7.69,4.17,2.72,2.44,2.05,2.68,1.55,2.0,2.32,1.35,2.62
h_0,9.38,11.03,11.09,9.48,10.03,7.19,5.73,3.11,3.41,4.25,2.39,2.64,2.86,2.34,2.46,2.21
a_0,11.73,10.0,9.94,12.45,10.45,9.38,3.9,3.61,2.61,3.93,1.95,2.84,2.37,1.56,2.27,2.23
g_0,11.23,10.55,12.53,11.41,11.45,9.39,3.38,3.64,3.51,4.98,3.46,3.52,2.03,2.49,3.28,2.35
e_0,18.47,13.57,11.49,10.51,11.24,9.52,4.59,3.2,3.46,3.78,3.59,1.89,3.42,2.99,3.04,1.69
