,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.29,0.95,0.91,0.95,0.89,0.83,0.89,0.99,0.79,0.96,0.95,0.87,0.92,0.85,0.98
e_1,0.77,1.0,1.27,0.96,1.06,0.92,1.02,1.39,1.15,1.16,1.0,1.12,1.04,0.95,1.24,1.23
c_1,1.04,0.79,1.0,1.05,1.36,1.04,1.03,0.71,0.96,0.66,0.81,0.9,1.05,0.99,1.0,0.95
d_1,1.1,1.04,0.95,1.0,1.02,0.83,0.99,1.14,0.8,1.34,1.14,0.9,0.98,0.96,1.0,0.85
b_1,1.04,0.95,0.74,1.0,1.0,1.58,1.26,1.0,1.02,1.07,1.07,1.19,1.0,1.08,0.98,0.95
a_1,1.12,1.09,0.97,1.2,0.63,1.0,1.12,1.08,1.3,0.98,1.28,1.07,1.15,1.3,1.04,0.93
h_1,1.13,0.97,0.97,1.06,0.82,0.89,1.0,0.86,1.26,0.95,0.95,0.9,1.01,0.9,0.96,1.29
d_0,1.09,0.73,1.43,0.9,0.98,0.96,1.16,1.0,1.0,0.83,0.99,0.86,0.99,1.05,0.89,1.15
g_1,0.99,0.86,1.03,1.26,0.99,0.78,0.79,0.98,1.0,1.0,0.96,1.29,0.83,0.91,1.09,1.07
c_0,1.21,0.93,1.45,0.74,0.96,0.97,1.05,1.22,1.0,1.0,1.29,0.99,1.23,1.18,1.0,1.07
b_0,1.02,1.01,1.25,0.86,0.98,0.8,1.05,1.01,1.11,0.81,1.0,1.07,1.19,1.53,0.9,1.14
f_0,1.05,0.93,1.09,1.16,0.84,0.92,1.01,1.09,0.74,0.95,0.98,1.0,1.08,0.96,1.52,0.89
h_0,1.18,1.02,0.92,1.03,0.95,0.84,1.01,0.96,1.23,0.85,0.9,0.88,1.0,0.97,0.98,1.11
a_0,1.05,1.06,1.02,0.99,0.96,0.78,1.13,0.89,1.13,0.88,0.68,1.02,1.0,1.0,1.1,0.93
e_0,1.2,0.87,1.01,1.05,1.02,0.81,1.12,1.07,0.95,0.87,1.03,0.63,1.02,1.05,1.0,1.06
g_0,1.05,0.81,1.04,1.21,1.0,1.17,0.75,0.83,1.03,0.95,0.89,1.14,0.92,1.0,1.02,1.0
