,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.93,1.2,1.6,1.98,4.17,18.37,46.19,38.61,36.65,53.17,76.95,77.9,97.37,110.52,151.77
f_1,1.09,1.0,1.09,1.3,1.52,3.13,14.83,32.5,32.99,31.88,42.64,50.83,77.0,76.97,82.57,119.01
d_1,0.82,0.91,1.0,1.03,1.31,3.03,16.59,26.04,22.88,37.27,43.74,45.57,68.67,65.96,83.81,88.28
c_1,0.61,0.77,0.99,1.0,1.74,2.99,14.02,17.67,23.58,24.07,28.97,40.8,57.76,66.39,80.0,95.15
b_1,0.5,0.66,0.75,0.6,1.0,2.95,10.53,17.46,18.26,22.52,24.88,31.02,41.74,52.66,63.91,65.65
a_1,0.24,0.3,0.33,0.34,0.35,1.0,5.46,7.93,9.37,9.73,13.76,14.86,19.22,24.94,26.09,34.26
h_1,0.05,0.06,0.06,0.07,0.09,0.18,1.0,1.7,1.9,1.81,2.37,2.98,4.17,4.89,5.68,7.8
d_0,0.02,0.03,0.04,0.06,0.06,0.12,0.57,1.0,1.13,0.88,1.49,1.79,2.57,2.87,3.42,4.1
g_1,0.03,0.03,0.04,0.04,0.05,0.11,0.53,0.89,1.0,1.12,1.42,2.13,2.6,2.36,3.67,4.16
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.56,1.08,0.9,1.0,1.79,1.62,2.58,2.55,3.01,3.74
b_0,0.02,0.02,0.02,0.03,0.04,0.07,0.44,0.66,0.7,0.58,1.01,1.17,2.39,2.01,2.14,2.85
f_0,0.01,0.02,0.02,0.02,0.03,0.06,0.33,0.57,0.48,0.6,0.87,1.0,1.37,1.51,2.55,1.98
a_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.4,0.4,0.4,0.43,0.73,1.0,1.16,1.31,1.59
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.36,0.42,0.38,0.51,0.66,0.88,1.0,1.15,1.67
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.3,0.28,0.35,0.49,0.41,0.74,0.89,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.25,0.24,0.28,0.37,0.51,0.66,0.61,0.9,1.0
