,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.07,5.84,10.08,10.77,8.49,6.0,3.62,2.6,3.24,2.57,2.36,2.63,2.11,,2.38,2.49
f_1,10.94,1.07,8.92,7.4,7.99,7.18,2.55,4.56,2.48,2.93,,3.03,1.69,2.06,2.12,1.95
d_1,12.25,9.45,1.07,9.98,10.96,7.82,3.51,2.18,,3.11,3.19,3.29,2.29,2.29,1.4,1.68
c_1,10.08,10.57,10.34,1.07,14.09,9.02,4.19,3.63,1.94,,2.6,2.64,2.26,2.27,2.22,2.48
b_1,12.66,12.55,10.95,6.92,1.07,11.12,3.78,4.51,3.25,3.9,3.28,,2.68,3.87,2.19,
a_1,23.7,17.24,14.39,16.23,8.68,1.07,5.78,4.28,3.56,3.78,4.01,3.86,2.46,,3.38,
h_1,12.84,14.58,14.06,12.21,11.92,11.21,1.41,5.92,3.71,4.88,3.85,3.71,,3.22,2.86,4.4
g_1,17.54,16.27,20.22,21.11,19.02,15.78,4.07,1.41,5.34,4.62,6.03,3.92,3.09,3.91,,4.34
d_0,9.56,14.95,,14.94,13.67,14.96,6.38,5.26,1.79,4.38,3.74,3.86,3.39,3.61,3.14,3.93
c_0,17.25,13.69,9.22,,13.49,12.56,4.99,5.1,5.22,1.75,4.61,5.39,3.19,4.1,2.78,4.01
f_0,17.04,,17.37,16.92,14.65,15.49,6.3,4.55,4.52,4.21,1.71,5.31,3.74,3.67,2.98,4.27
b_0,15.83,16.58,14.1,17.69,,18.75,6.38,6.17,5.32,2.96,4.73,1.71,3.67,5.85,5.13,4.43
h_0,13.33,15.04,14.55,12.74,14.57,16.36,,6.68,4.76,5.06,5.81,5.29,,3.87,3.56,4.44
e_0,,29.31,23.08,23.76,17.73,,9.1,7.64,7.12,6.58,4.42,5.11,4.81,1.74,3.49,
g_0,18.07,23.48,18.73,18.72,18.2,17.08,7.52,,5.31,5.53,5.05,4.86,3.39,5.73,,3.97
a_0,24.68,34.28,38.11,24.96,,,7.36,7.7,6.24,6.64,6.16,4.38,5.51,,6.09,1.73
