,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.72,1.26,1.33,1.21,1.21,0.37,0.27,0.26,0.4,0.27,0.29,0.22,0.19,0.45,0.19
f_1,1.17,0.42,1.28,0.99,1.21,1.09,0.27,0.28,0.24,0.35,0.24,0.38,0.22,0.13,0.24,0.21
c_1,0.95,1.2,0.41,1.55,1.2,1.18,0.41,0.15,0.35,0.34,0.27,0.26,0.22,0.17,0.19,0.18
d_1,1.56,1.54,1.22,0.4,1.13,1.06,0.27,0.45,0.23,0.22,0.21,0.24,0.26,0.16,0.24,0.11
b_1,1.33,1.48,0.72,1.3,0.39,1.34,0.4,0.27,0.35,0.44,0.45,0.29,0.32,0.23,0.22,0.21
a_1,1.88,1.78,1.64,1.89,0.83,0.32,0.45,0.38,0.33,0.52,0.32,0.4,0.66,0.22,0.32,0.21
h_1,2.26,2.32,2.01,1.97,1.91,1.79,0.31,0.48,0.44,0.64,0.44,0.42,0.43,0.44,0.43,0.3
d_0,1.38,2.22,2.5,3.44,2.37,2.55,0.81,0.33,0.51,0.78,0.53,0.47,0.45,0.39,0.49,0.37
c_0,2.7,2.47,4.15,1.33,2.48,2.25,0.64,0.72,0.32,0.63,0.57,0.46,0.53,0.39,0.6,0.3
g_1,2.58,2.79,2.42,2.1,2.72,2.08,0.49,0.57,0.43,0.28,0.43,0.5,0.41,0.26,0.51,0.43
b_0,2.27,2.43,3.49,2.2,3.6,2.3,0.68,0.53,0.3,0.67,0.33,0.43,0.5,0.35,0.56,0.32
f_0,2.16,4.44,2.8,2.6,2.63,2.56,0.76,0.56,0.51,0.47,0.53,0.29,0.53,0.36,0.5,0.25
a_0,2.56,3.16,3.65,2.8,3.74,4.05,0.84,0.64,0.49,0.9,0.34,0.62,0.29,0.46,0.6,0.45
h_0,3.05,2.98,3.35,3.02,3.14,2.38,1.14,0.64,0.62,0.79,0.65,0.62,0.54,0.55,0.51,0.43
e_0,4.01,4.81,3.37,3.73,3.44,2.28,0.89,0.66,0.67,0.77,0.68,0.34,0.62,0.47,0.27,0.43
g_0,3.27,3.64,3.85,3.2,3.36,2.92,0.7,0.8,0.67,1.37,0.67,0.78,0.68,0.38,0.71,0.65
