,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.41,0.58,0.42,0.66,0.7,0.55,0.33,0.35,0.33,0.27,0.28,0.34,0.25,0.36,0.3,0.24
d_1,0.67,0.4,0.62,0.57,0.55,0.54,0.29,0.23,0.3,0.29,0.26,0.25,0.21,0.24,0.26,0.17
f_1,0.69,0.56,0.4,0.61,0.54,0.48,0.27,0.35,0.29,0.26,0.25,0.3,0.17,0.24,0.26,0.24
c_1,0.51,0.72,0.58,0.38,0.71,0.55,0.31,0.33,0.18,0.28,0.24,0.25,0.23,0.25,0.24,0.2
b_1,0.54,0.63,0.7,0.4,0.35,0.76,0.33,0.32,0.25,0.35,0.33,0.28,0.25,0.27,0.23,0.24
a_1,0.64,0.61,0.74,0.57,0.36,0.31,0.35,0.33,0.29,0.3,0.38,0.26,0.23,0.26,0.37,0.25
h_1,0.56,0.56,0.62,0.6,0.52,0.51,0.22,0.31,0.27,0.25,0.26,0.27,0.24,0.26,0.25,0.22
g_1,0.53,0.6,0.6,0.57,0.56,0.54,0.29,0.22,0.26,0.26,0.27,0.27,0.18,0.25,0.25,0.23
d_0,0.41,0.75,0.54,0.65,0.58,0.59,0.35,0.35,0.23,0.27,0.24,0.26,0.22,0.26,0.26,0.24
c_0,0.6,0.41,0.64,0.72,0.53,0.52,0.34,0.29,0.35,0.22,0.3,0.27,0.24,0.27,0.29,0.22
b_0,0.59,0.47,0.56,0.73,0.6,0.48,0.33,0.3,0.32,0.18,0.21,0.27,0.21,0.25,0.27,0.23
f_0,0.48,0.58,0.7,0.58,0.55,0.57,0.31,0.23,0.27,0.26,0.27,0.21,0.23,0.31,0.23,0.17
h_0,0.54,0.57,0.68,0.56,0.55,0.5,0.33,0.32,0.25,0.23,0.26,0.24,0.25,0.24,0.22,0.2
e_0,0.55,0.57,0.77,0.58,0.55,0.51,0.3,0.27,0.26,0.25,0.27,0.17,0.2,0.19,0.25,0.18
a_0,0.52,0.51,0.57,0.71,0.67,0.56,0.32,0.31,0.3,0.19,0.17,0.25,0.21,0.24,0.18,0.22
g_0,0.54,0.61,0.59,0.64,0.53,0.53,0.26,0.32,0.26,0.26,0.26,0.26,0.19,0.25,0.21,0.24
