,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.28,1.67,0.99,1.05,0.88,0.68,1.78,1.55,1.98,2.15,1.88,1.39,2.41,1.63,1.1,2.29
e_1,1.21,2.31,0.9,1.3,1.0,0.71,1.84,1.34,1.85,3.73,1.96,1.79,2.94,2.02,1.46,2.59
d_1,1.23,1.06,2.49,0.85,0.89,0.8,1.95,1.96,3.79,1.74,2.49,2.08,2.82,2.04,1.59,2.55
c_1,1.05,0.96,1.0,2.52,1.65,0.97,1.74,1.74,1.57,1.89,1.57,1.84,2.62,1.62,1.73,2.0
b_1,1.08,0.95,1.01,1.17,2.66,1.59,1.83,1.69,1.97,2.01,1.49,1.86,2.76,1.29,1.59,2.29
a_1,1.18,1.04,1.18,1.02,0.93,3.18,2.27,2.0,2.27,2.07,2.31,1.91,2.61,1.52,1.92,2.51
h_1,1.54,1.17,1.11,1.07,0.93,0.81,3.61,2.41,2.4,2.07,2.31,2.03,2.6,2.36,1.92,3.16
g_1,1.08,1.0,1.68,1.0,0.91,0.87,1.85,3.91,2.85,1.69,2.65,3.19,2.93,2.26,2.21,2.51
c_0,1.46,1.24,1.27,0.96,0.76,0.74,2.27,1.86,3.45,2.31,4.03,2.23,3.2,2.66,2.11,2.92
d_0,1.26,1.15,0.83,1.9,1.12,0.77,1.98,1.75,1.62,3.24,2.28,1.76,3.08,1.92,1.72,2.49
b_0,1.39,1.19,1.28,1.19,0.66,0.74,2.32,2.02,2.24,2.17,3.61,2.0,2.95,3.83,1.87,2.83
f_0,1.03,1.05,1.25,1.08,1.0,0.99,2.05,2.0,2.44,2.78,2.66,3.95,3.12,2.27,4.24,3.28
h_0,1.56,1.23,1.23,0.98,1.04,0.81,1.3,2.11,1.99,2.04,2.09,1.81,2.47,1.98,1.77,3.14
a_0,1.36,1.13,1.22,1.23,1.12,0.7,2.17,1.57,2.34,2.36,2.24,1.8,3.12,3.51,1.55,2.67
e_0,1.36,0.94,1.35,1.08,1.02,0.68,1.92,2.43,2.28,2.56,2.53,2.44,3.04,3.02,4.12,2.63
g_0,1.11,1.01,1.63,1.14,1.04,0.77,1.86,1.68,2.43,2.25,2.43,2.85,3.15,2.24,2.39,2.27
