,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.25,2.05,2.17,2.01,2.14,0.66,0.56,0.77,0.59,0.55,0.79,0.36,0.54,0.55,0.46
e_1,1.51,1.06,2.36,2.81,2.31,1.76,0.97,0.72,0.89,0.88,0.67,0.89,0.57,0.69,0.54,0.99
d_1,2.79,2.72,1.06,2.15,2.02,1.73,0.8,0.82,0.6,1.06,0.73,0.64,0.52,0.49,0.36,0.58
c_1,2.69,1.99,2.61,1.06,2.41,1.9,1.04,0.9,0.82,0.45,0.61,0.59,0.53,0.6,0.54,0.53
b_1,3.34,2.97,2.67,1.7,1.07,2.95,1.15,1.02,0.99,0.9,1.6,0.78,0.78,0.75,0.59,0.64
a_1,3.43,4.81,4.65,3.73,2.09,1.07,1.36,1.28,1.59,1.35,1.25,1.09,0.93,1.51,0.99,0.98
h_1,7.15,5.19,5.6,5.49,5.15,4.73,1.32,1.65,2.24,1.79,1.92,1.52,1.81,1.42,1.44,1.5
c_0,8.29,7.18,4.14,11.59,6.9,5.69,3.01,1.53,2.69,3.07,2.53,1.99,1.66,2.09,1.45,1.58
g_1,7.71,7.16,8.28,7.82,8.02,4.98,2.18,1.7,1.36,1.96,2.04,1.98,1.16,2.05,1.62,2.08
d_0,8.15,4.23,12.47,9.14,7.16,6.36,2.79,1.89,2.99,1.55,2.13,2.08,1.8,1.85,1.76,1.86
b_0,8.71,7.69,7.67,11.29,11.08,5.66,2.88,1.41,3.05,2.35,1.51,2.18,1.86,2.89,1.88,2.16
f_0,13.67,7.36,8.12,9.14,7.53,6.44,3.51,2.27,2.23,2.46,2.14,1.53,1.88,2.45,1.17,2.4
h_0,11.01,9.29,9.7,9.26,9.07,7.07,5.28,2.8,4.45,2.91,2.59,2.73,2.7,2.32,2.24,2.04
a_0,12.32,8.64,11.42,11.98,10.53,11.32,5.02,2.81,3.58,2.92,1.72,2.67,2.76,1.63,2.75,3.07
g_0,10.79,10.5,12.54,10.61,11.57,8.3,3.01,3.72,6.15,2.83,2.96,4.27,2.23,2.53,3.13,2.64
e_0,17.34,14.88,9.84,12.52,11.01,9.9,4.8,3.37,3.69,3.01,3.61,1.75,3.46,2.88,2.13,1.65
