,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.48,2.05,2.72,2.39,1.78,0.86,1.02,0.84,0.67,0.62,0.69,0.52,0.57,0.94,0.49
f_1,2.64,1.06,2.24,2.22,1.86,1.78,0.63,0.91,0.68,0.6,0.66,0.94,0.39,0.53,0.54,0.5
d_1,2.73,2.32,1.06,2.36,2.33,2.08,0.81,0.57,1.24,0.77,0.75,0.6,0.52,0.58,0.57,0.37
c_1,1.9,2.65,3.04,1.06,2.67,2.2,1.09,0.93,0.48,0.93,0.72,0.73,0.59,0.79,0.74,0.56
b_1,2.54,3.12,2.59,1.61,1.07,3.1,1.08,0.98,0.81,1.07,1.17,0.79,0.6,0.66,0.72,0.53
a_1,3.87,3.98,3.47,3.56,2.11,1.07,1.52,1.5,1.05,1.13,1.17,1.0,0.98,1.77,0.86,0.97
h_1,6.39,6.88,6.45,5.36,5.09,4.54,1.35,2.64,2.18,1.79,1.65,1.54,1.88,1.5,1.41,1.44
g_1,6.45,7.3,7.73,6.93,6.38,5.49,1.92,1.34,2.2,2.01,2.03,2.2,1.16,1.76,1.39,1.79
d_0,4.52,7.03,9.82,7.67,7.58,5.39,2.62,2.51,1.52,2.07,1.9,1.9,1.56,2.51,1.83,1.45
c_0,7.26,8.12,4.54,10.88,7.09,6.21,3.09,2.62,2.95,1.51,2.38,2.33,1.63,1.94,1.93,1.34
b_0,7.76,7.81,6.21,9.09,11.64,6.49,3.39,2.95,2.45,1.51,1.52,2.29,2.0,2.14,1.85,1.87
f_0,7.38,11.76,8.16,7.67,7.66,6.44,3.25,2.04,2.52,2.38,2.04,1.56,1.86,2.09,2.31,1.17
h_0,9.61,11.1,9.57,10.34,10.45,7.73,5.42,4.25,3.1,2.89,2.84,2.92,2.77,2.86,2.35,2.31
a_0,10.87,11.62,9.42,9.59,13.94,9.15,4.47,4.21,3.25,2.73,1.84,3.13,2.37,1.6,2.58,2.18
e_0,14.44,13.67,10.5,9.57,8.32,9.54,4.04,4.03,3.36,3.12,3.27,1.64,2.82,2.74,1.59,1.7
g_0,12.16,13.38,15.24,11.68,12.65,8.69,3.31,6.32,4.63,3.92,3.34,3.77,2.16,3.36,3.09,3.26
