,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.06,2.46,2.28,1.85,1.81,1.55,0.81,0.52,0.67,0.98,0.61,0.54,0.42,0.53,0.51,0.32
e_1,2.15,1.06,1.39,2.31,2.22,1.75,0.93,0.87,0.62,0.72,0.61,0.78,0.52,0.59,0.85,0.55
f_1,1.93,2.37,1.06,2.16,1.99,1.59,0.61,1.14,0.62,0.6,0.59,0.87,0.36,0.52,0.49,0.46
c_1,2.77,2.02,2.3,1.06,2.7,2.09,0.91,0.73,0.82,0.44,0.67,0.72,0.49,0.57,0.53,0.56
b_1,2.81,2.39,2.82,1.59,1.06,3.27,1.01,0.97,0.86,0.77,1.25,0.73,0.54,0.68,0.84,0.68
a_1,3.9,3.19,4.19,3.28,1.73,1.07,1.27,1.29,1.02,1.12,1.23,0.84,1.14,1.4,0.9,0.81
h_1,4.91,5.38,7.03,5.07,4.47,4.22,1.31,2.31,1.72,1.58,1.5,1.31,1.64,1.17,1.21,1.34
g_1,6.6,6.19,6.48,6.71,5.76,4.89,1.83,1.31,1.97,1.67,1.89,1.76,1.19,1.71,1.89,1.58
c_0,4.24,7.02,6.68,9.1,6.29,5.82,2.57,2.29,1.47,2.51,2.08,1.77,1.47,1.53,1.75,1.35
d_0,8.77,4.33,7.02,8.77,7.06,5.41,2.73,3.03,1.94,1.52,1.99,2.07,1.69,1.75,2.05,1.75
b_0,5.83,7.11,7.18,8.72,8.18,5.66,2.65,2.66,1.34,2.47,1.48,2.01,2.34,2.27,1.86,1.64
f_0,7.18,6.24,10.58,6.9,7.49,6.78,2.99,1.98,2.26,2.27,2.33,1.49,2.0,1.88,2.3,1.22
h_0,9.53,8.41,10.22,9.36,9.96,5.57,4.36,3.57,2.64,2.6,2.15,2.15,2.61,2.14,1.94,2.2
a_0,8.58,8.35,10.79,10.95,11.51,9.26,4.62,3.09,2.56,2.91,1.62,2.56,2.06,1.6,2.31,1.78
e_0,9.29,13.22,12.62,11.25,7.41,6.58,3.6,2.93,2.68,2.46,3.01,1.45,2.73,2.53,1.55,2.08
g_0,10.3,9.35,13.03,9.25,8.41,7.32,3.1,4.42,3.05,2.78,2.6,3.4,1.89,3.01,2.5,2.29
