,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.96,0.56,0.56,0.74,0.56,0.41,0.44,0.61,0.37,0.34,0.4,0.37,0.37,0.25,0.27,0.32
f_1,0.95,0.96,0.55,0.61,0.47,0.34,0.39,0.47,0.38,0.4,0.32,0.34,0.35,0.21,0.29,0.32
d_1,0.65,0.73,0.96,0.5,0.55,0.4,0.43,0.35,0.34,0.61,0.35,0.41,0.36,0.29,0.3,0.31
c_1,0.57,0.62,0.61,0.96,0.86,0.46,0.44,0.35,0.34,0.29,0.37,0.25,0.35,0.25,0.23,0.33
b_1,0.64,0.71,0.66,0.56,0.95,0.78,0.44,0.4,0.4,0.41,0.36,0.3,0.39,0.29,0.23,0.32
a_1,0.78,0.83,0.7,0.74,0.54,0.94,0.52,0.53,0.43,0.42,0.43,0.43,0.45,0.36,0.3,0.35
h_1,0.92,1.14,0.95,0.88,0.79,0.53,0.8,0.54,0.72,0.54,0.53,0.49,0.46,0.39,0.41,0.54
d_0,0.82,0.86,0.83,1.37,0.99,0.62,0.71,0.76,0.61,0.44,0.55,0.49,0.54,0.44,0.46,0.51
g_1,0.94,0.88,1.25,0.95,0.85,0.67,0.57,0.51,0.79,0.61,0.72,0.47,0.47,0.45,0.4,0.41
c_0,1.07,1.03,0.9,0.93,0.69,0.69,0.73,0.78,0.62,0.76,0.63,0.9,0.59,0.44,0.59,0.55
f_0,0.88,0.89,1.07,1.09,0.99,0.74,0.74,0.67,0.66,0.64,0.73,0.58,0.59,0.75,0.48,0.48
b_0,1.06,1.09,0.96,1.2,0.82,0.48,0.78,0.74,0.7,0.53,0.6,0.74,0.61,0.49,0.79,0.57
h_0,1.02,1.27,1.14,1.03,0.97,0.76,0.7,0.75,0.84,0.66,0.65,0.58,0.58,0.46,0.47,0.63
e_0,0.96,1.26,1.15,1.18,0.96,0.72,0.86,0.74,0.81,0.75,0.56,0.62,0.75,0.7,0.64,0.6
a_0,1.22,1.11,1.17,1.17,1.08,0.69,0.87,0.76,0.78,0.69,0.65,0.54,0.63,0.43,0.68,0.57
g_0,1.02,1.08,1.47,0.99,1.03,0.78,0.72,0.65,0.7,0.77,0.86,0.61,0.59,0.54,0.54,0.56
