,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.1,1.63,3.26,3.63,3.43,3.05,0.94,0.74,1.03,0.61,0.85,0.68,0.48,0.88,0.54,0.59
f_1,3.06,1.1,2.86,3.45,3.43,2.48,0.64,0.8,0.96,0.65,0.98,0.59,0.35,0.6,0.64,0.51
d_1,3.69,3.81,1.09,3.56,3.12,2.97,0.82,1.05,0.59,0.65,0.64,0.73,0.45,0.64,0.57,0.28
c_1,2.55,3.86,4.67,1.1,3.19,2.89,0.94,0.4,0.97,0.99,0.62,0.62,0.48,0.58,0.62,0.53
b_1,3.84,5.06,3.9,2.02,1.12,4.29,1.2,0.79,1.17,1.26,0.81,1.37,0.66,0.91,0.8,0.54
a_1,6.09,6.67,5.84,5.74,2.52,1.13,1.87,1.34,1.53,1.29,0.99,1.91,0.73,1.35,1.88,0.85
h_1,11.32,11.66,11.12,10.82,10.84,11.96,1.65,2.41,3.73,2.37,2.22,2.18,1.97,1.99,1.73,1.67
d_0,8.15,12.75,19.82,14.28,14.28,11.89,4.58,1.92,4.88,2.75,3.03,2.75,1.9,2.98,2.76,2.47
g_1,15.15,14.67,14.34,15.72,12.57,13.22,2.62,2.82,1.64,2.96,2.75,2.46,1.51,2.11,2.08,1.99
c_0,15.41,13.56,7.47,29.45,15.52,17.79,4.55,4.6,4.42,1.89,3.1,3.2,2.17,2.91,2.47,2.04
f_0,14.54,22.78,17.3,16.34,17.65,13.96,4.98,3.22,3.06,3.33,1.99,3.26,2.32,3.65,3.39,1.54
b_0,15.55,16.92,14.03,25.94,25.59,17.79,5.01,3.48,5.27,2.0,3.34,2.0,2.75,3.39,2.94,2.86
h_0,21.67,20.96,21.51,22.54,20.29,17.79,8.42,4.63,7.12,4.58,5.06,4.87,4.15,3.72,4.55,3.39
e_0,31.37,38.39,23.03,27.7,21.85,22.09,6.85,5.68,7.05,5.92,2.72,4.66,3.63,2.21,5.25,3.16
a_0,25.73,23.09,23.7,33.7,31.57,32.95,6.96,4.6,7.74,3.98,4.77,2.39,4.45,3.69,2.42,3.1
g_0,27.94,29.21,23.7,26.8,23.87,25.44,5.43,5.96,9.89,5.15,5.39,5.25,3.11,4.48,5.41,4.43
