,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.17,0.25,0.16,0.25,0.2,0.16,0.52,0.87,0.43,0.34,0.54,0.4,0.63,0.42,0.47,0.09
f_1,0.44,2.2,0.22,0.2,0.21,0.17,0.4,0.46,0.45,0.27,0.47,0.08,0.49,0.35,0.38,0.17
d_1,0.22,0.25,2.36,0.18,0.16,0.16,0.4,0.09,0.95,0.44,0.48,0.53,0.62,0.34,0.58,0.36
c_1,0.23,0.25,0.22,2.46,0.34,0.14,0.45,0.55,0.08,0.27,0.32,0.48,0.44,0.42,0.54,0.39
b_1,0.23,0.29,0.24,0.18,2.62,0.28,0.41,0.56,0.54,0.35,0.1,0.29,0.52,0.24,0.47,0.39
a_1,0.21,0.26,0.23,0.22,0.19,3.08,0.45,0.54,0.48,0.4,0.42,0.34,0.61,,0.52,0.42
h_1,0.37,0.57,0.39,0.37,0.34,0.33,2.72,0.84,0.74,0.69,0.74,0.84,0.43,0.5,1.12,0.55
d_0,0.47,0.43,0.18,0.73,0.32,0.23,0.68,2.09,0.72,0.58,0.83,0.98,1.15,0.55,0.82,0.64
c_0,0.43,0.48,0.49,0.14,0.28,0.31,0.87,0.91,2.23,0.61,1.52,0.99,1.08,0.86,1.07,0.68
g_1,0.43,0.3,0.66,0.4,0.28,0.22,0.59,0.67,0.87,3.31,0.78,1.44,0.75,0.44,0.27,0.74
b_0,0.42,0.45,0.51,0.38,0.16,0.23,0.84,0.74,0.75,0.6,2.47,0.97,1.27,1.4,1.21,0.74
f_0,0.32,0.12,0.49,0.47,0.47,0.32,0.61,0.88,0.76,0.88,1.06,2.56,1.2,0.73,0.89,1.72
h_0,0.39,0.6,0.41,0.43,0.27,0.33,0.21,0.79,0.77,0.82,0.88,0.6,0.35,0.45,1.08,0.81
a_0,0.44,0.4,0.55,0.36,0.36,,0.86,1.14,0.8,0.44,0.81,0.97,1.0,2.87,0.76,0.48
g_0,0.25,0.35,0.69,0.39,0.36,0.25,0.71,0.72,0.87,,0.94,1.42,0.99,0.69,0.45,0.79
e_0,0.13,0.56,0.42,0.5,0.36,0.4,0.69,0.84,0.77,0.52,0.66,0.92,1.27,0.6,1.0,3.05
