,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.01,1.28,0.73,0.76,0.66,0.56,0.75,1.03,0.9,0.81,0.89,0.51,0.92,0.94,0.54,0.81
e_1,0.84,2.05,0.64,0.93,0.72,0.66,1.04,1.59,0.78,0.9,0.99,0.97,0.99,1.19,0.7,0.99
d_1,0.89,0.68,2.31,0.62,0.67,0.75,0.88,0.53,1.8,0.84,1.3,1.08,1.11,1.06,1.07,1.05
c_1,0.78,0.74,0.66,2.28,1.3,0.7,0.93,0.77,0.62,0.89,0.58,0.92,0.8,0.86,1.11,0.86
b_1,0.67,0.65,0.78,0.73,2.36,1.52,0.98,0.92,0.79,1.04,0.61,0.95,1.02,0.72,0.87,0.92
a_1,0.79,0.66,0.85,0.76,0.78,3.21,1.14,1.02,0.97,1.08,1.06,1.17,1.1,0.56,1.2,1.23
h_1,1.13,0.77,0.97,0.87,0.66,0.67,2.17,0.92,1.03,1.33,1.05,1.03,0.73,0.93,1.09,1.45
d_0,0.84,0.79,0.58,1.59,0.88,0.63,1.04,1.57,0.58,0.96,1.0,0.99,1.04,0.95,1.03,0.93
c_0,0.91,0.88,0.96,0.53,0.69,0.81,1.15,1.02,1.73,1.12,2.15,1.02,1.19,1.32,1.31,1.25
g_1,0.69,0.72,1.48,0.86,0.73,0.66,1.0,0.88,1.02,2.68,1.05,1.73,1.18,1.02,1.26,0.86
b_0,1.01,0.91,1.02,0.85,0.46,0.59,1.04,0.93,1.02,1.16,2.11,1.16,1.16,2.38,1.39,1.15
f_0,0.67,0.68,1.06,0.89,0.87,0.81,1.15,1.0,1.13,1.11,1.25,2.2,1.23,1.11,2.54,1.13
h_0,1.09,0.8,1.0,0.83,0.79,0.73,0.82,0.97,1.11,1.24,1.12,1.1,0.64,1.0,1.0,1.43
a_0,0.86,0.8,1.1,0.9,0.75,0.38,1.01,1.04,1.19,1.18,1.36,1.35,1.18,2.45,1.2,1.34
e_0,0.88,0.52,0.96,0.9,0.97,0.82,1.08,0.91,1.21,1.12,1.3,1.25,1.44,1.08,2.75,1.12
g_0,0.68,0.68,1.39,0.84,0.79,0.73,1.12,1.03,1.02,0.91,1.09,1.99,1.06,1.25,1.21,0.82
