,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.87,0.93,0.85,0.64,0.41,0.43,0.42,0.38,0.38,0.34,0.3,0.32,0.32,0.25
e_1,0.83,1.0,0.93,1.11,0.97,0.68,0.48,0.6,0.43,0.39,0.42,0.47,0.36,0.31,0.36,0.34
d_1,1.14,1.1,1.0,0.93,0.89,0.64,0.46,0.5,0.37,0.55,0.4,0.39,0.33,0.31,0.27,0.32
c_1,1.07,0.9,1.12,1.0,1.22,0.72,0.48,0.32,0.48,0.39,0.34,0.41,0.37,0.34,0.3,0.32
b_1,1.2,1.03,1.1,0.83,1.0,1.23,0.59,0.45,0.5,0.51,0.46,0.42,0.37,0.32,0.34,0.33
a_1,1.57,1.4,1.47,1.33,0.82,1.0,0.87,0.57,0.67,0.56,0.7,0.5,0.55,0.52,0.44,0.41
h_1,2.34,2.16,2.17,2.09,1.7,1.19,1.0,0.75,1.0,0.85,0.85,0.73,0.7,0.59,0.68,0.61
d_0,2.25,1.68,2.01,3.13,2.29,1.8,1.3,1.0,0.97,0.8,1.01,0.88,0.77,0.72,0.81,0.78
g_1,2.35,2.27,2.59,2.03,1.97,1.53,1.0,0.98,1.0,1.01,1.0,1.07,0.74,0.77,0.75,0.7
c_0,2.56,2.5,1.9,2.46,1.91,1.85,1.23,1.15,1.01,1.0,1.34,0.95,0.89,0.93,0.73,0.81
b_0,2.7,2.46,2.38,2.76,2.27,1.5,1.23,1.06,0.99,0.79,1.0,0.87,0.88,1.07,0.75,0.76
f_0,2.85,2.12,2.58,2.48,2.32,1.95,1.35,1.12,0.92,1.04,1.16,1.0,1.0,0.96,0.67,1.07
h_0,3.3,2.94,3.1,2.66,2.61,1.84,1.47,1.23,1.32,1.13,1.11,1.01,1.0,0.96,0.98,0.76
a_0,3.18,3.14,3.15,3.12,3.21,1.97,1.68,1.41,1.34,1.09,0.98,1.24,1.05,1.0,0.98,0.92
g_0,3.15,2.8,3.75,3.3,3.02,2.23,1.46,1.26,1.34,1.39,1.3,1.46,0.97,1.01,1.0,0.96
e_0,3.91,2.89,3.02,3.18,2.99,2.54,1.67,1.34,1.39,1.28,1.39,0.94,1.31,1.09,0.99,1.0
