,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.7,1.0,1.15,1.06,0.79,0.67,0.77,0.89,0.7,0.69,0.61,0.54,0.65,0.7,0.62
f_1,1.42,1.0,0.87,0.9,0.88,0.77,0.65,0.71,0.61,0.64,0.68,0.65,0.59,0.55,0.46,0.55
d_1,1.0,1.14,1.0,0.92,0.89,0.81,0.71,0.5,0.92,0.86,0.61,0.76,0.61,0.63,0.54,0.61
c_1,0.87,1.11,1.09,1.0,1.26,0.98,0.65,0.62,0.51,0.46,0.62,0.55,0.57,0.54,0.58,0.54
b_1,0.94,1.14,1.13,0.79,1.0,1.23,0.72,0.75,0.66,0.71,0.53,0.6,0.8,0.6,0.57,0.69
a_1,1.26,1.3,1.23,1.02,0.81,1.0,0.83,0.92,0.77,0.82,0.76,0.72,0.69,0.67,0.63,0.63
h_1,1.47,1.55,1.41,1.53,1.39,1.18,1.0,0.96,0.9,0.84,0.88,0.9,0.69,0.59,0.89,0.67
g_1,1.32,1.4,1.85,1.66,1.32,1.0,1.05,1.0,0.88,0.78,1.14,0.92,0.75,0.79,0.86,0.75
d_0,1.11,1.74,1.1,1.99,1.45,1.21,1.13,1.12,1.0,0.89,1.15,0.82,0.91,0.84,0.91,0.69
c_0,1.46,1.54,1.26,2.16,1.46,1.18,1.2,1.34,1.09,1.0,1.25,1.52,0.96,0.95,0.94,0.97
f_0,1.39,1.43,1.61,1.69,1.92,1.25,1.11,0.86,0.88,0.83,1.0,0.84,0.86,1.48,0.69,0.88
b_0,1.65,1.42,1.31,1.92,1.72,1.41,1.13,1.14,1.18,0.62,1.16,1.0,1.01,0.89,1.12,1.2
h_0,1.72,1.82,1.74,1.72,1.3,1.45,1.44,1.32,1.01,0.97,1.18,0.97,1.0,0.87,1.31,0.83
e_0,1.53,1.93,1.55,1.96,1.65,1.56,1.53,1.28,1.3,1.11,0.69,1.01,1.15,1.0,0.91,0.92
g_0,1.47,2.02,1.86,1.72,1.74,1.56,1.11,1.18,1.05,1.07,1.37,0.94,0.77,1.03,1.0,0.84
a_0,1.62,1.86,1.73,1.83,1.47,1.58,1.53,1.32,1.18,1.07,1.15,0.85,1.22,1.08,1.14,1.0
