,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,4.18,3.85,4.5,4.16,3.74,1.03,0.82,0.92,1.71,0.97,4.2,0.78,0.53,0.9,0.81
e_1,2.35,0.44,5.37,4.56,4.51,6.43,1.16,0.96,0.84,1.47,0.96,1.15,1.05,0.63,4.58,0.76
d_1,5.76,5.28,0.41,4.88,3.9,4.35,1.54,0.76,4.17,0.77,0.79,0.94,0.88,0.59,1.05,0.44
c_1,4.92,4.75,6.29,0.41,5.17,4.22,1.21,3.44,0.48,1.14,0.87,0.79,1.09,0.69,0.97,0.53
b_1,4.46,5.34,4.96,2.52,0.4,5.55,2.0,1.14,1.02,1.61,6.29,0.85,0.93,0.89,0.74,0.89
a_1,6.96,6.19,6.43,7.08,3.05,0.34,1.77,1.31,1.45,1.51,1.21,1.05,3.78,0.71,1.41,0.8
h_1,4.95,4.59,4.74,5.64,6.17,4.2,0.36,1.05,1.15,2.01,0.99,0.91,0.8,2.1,0.78,0.61
c_0,5.84,5.99,2.43,17.86,6.34,5.93,1.44,0.46,1.6,1.61,1.19,1.04,1.05,0.76,0.89,0.77
d_0,6.74,2.55,20.75,5.88,5.38,5.96,1.59,1.38,0.46,1.86,1.25,1.41,0.97,0.75,1.31,1.04
g_1,5.69,5.13,6.17,6.27,5.66,5.57,1.24,1.08,1.31,0.33,1.13,1.14,1.1,0.69,1.02,1.73
b_0,4.74,5.05,4.48,7.97,23.85,5.74,1.34,0.6,1.33,1.74,0.42,1.2,1.29,0.74,1.05,0.77
f_0,16.25,5.34,5.8,4.78,7.62,6.12,1.52,1.53,1.28,1.08,1.19,0.41,1.29,0.93,1.07,0.53
a_0,7.72,6.6,5.8,7.41,9.24,23.76,1.49,0.93,1.88,1.58,0.68,1.47,0.38,1.04,1.47,1.18
h_0,9.27,6.11,5.92,9.77,7.34,5.39,4.06,1.37,1.71,1.77,1.41,1.37,1.16,2.36,1.04,1.28
e_0,10.57,26.0,6.43,6.75,6.2,5.84,1.88,1.34,1.48,1.96,1.72,0.61,1.52,0.83,0.34,0.96
g_0,9.64,8.09,6.01,12.19,7.12,6.79,1.75,1.42,1.88,4.57,1.54,1.32,1.38,0.91,1.26,2.64
