,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.98,1.06,0.95,0.8,0.76,0.63,0.68,0.87,0.63,0.72,0.6,0.6,0.63,0.63
f_1,1.25,1.0,0.92,0.99,0.84,0.85,0.56,0.6,0.61,0.63,0.6,0.58,0.52,0.54,0.42,0.55
d_1,1.01,1.1,1.0,0.84,0.9,0.87,0.72,0.88,0.56,0.67,0.63,0.62,0.6,0.59,0.67,0.49
c_1,0.95,1.01,1.19,1.0,1.28,0.88,0.75,0.62,0.78,0.5,0.65,0.62,0.61,0.53,0.56,0.56
b_1,1.05,1.18,1.11,0.8,1.0,1.38,0.79,0.7,0.68,0.67,0.63,0.64,0.67,0.57,0.65,0.66
a_1,1.23,1.18,1.14,1.12,0.72,1.0,0.89,0.81,0.83,0.74,0.93,0.85,0.82,0.91,0.73,0.74
h_1,1.3,1.75,1.41,1.35,1.23,1.04,1.0,0.86,1.14,0.92,0.92,0.89,0.86,0.81,0.81,0.94
c_0,1.55,1.71,1.17,1.59,1.34,1.27,1.18,1.0,1.08,1.13,1.32,0.96,0.98,1.02,0.86,0.9
g_1,1.45,1.62,1.8,1.29,1.49,1.18,0.89,0.94,1.0,0.89,0.97,1.08,0.73,0.92,0.84,0.8
d_0,1.19,1.52,1.46,2.05,1.55,1.29,1.09,0.88,1.1,1.0,1.03,0.88,0.95,0.9,0.88,0.94
b_0,1.61,1.67,1.53,1.57,1.57,1.0,1.11,0.78,1.0,0.95,1.0,0.93,0.87,1.44,0.91,0.86
f_0,1.35,1.78,1.6,1.61,1.56,1.25,1.12,1.01,0.91,1.09,1.04,1.0,1.04,1.05,1.28,0.78
h_0,1.67,1.92,1.62,1.64,1.53,1.24,1.14,1.0,1.37,1.06,1.19,0.96,1.0,0.92,0.86,1.05
a_0,1.67,1.88,1.63,1.99,1.66,1.11,1.24,1.02,1.11,1.13,0.73,0.98,1.1,1.0,0.91,0.89
e_0,1.66,2.42,1.49,1.76,1.49,1.33,1.2,1.16,1.16,1.17,1.15,0.8,1.15,1.05,1.0,0.99
g_0,1.57,1.75,2.02,1.83,1.56,1.39,1.05,1.11,1.32,1.03,1.21,1.32,0.96,1.05,0.99,1.0
