,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.88,1.01,0.99,0.91,0.86,0.87,1.14,1.03,0.89,0.88,0.85,0.85,0.91,1.08
e_1,0.8,1.0,0.97,1.29,0.99,1.0,1.02,0.97,1.0,1.28,1.01,1.14,1.0,1.04,1.08,1.11
d_1,1.14,1.02,1.0,0.88,0.93,0.99,0.99,1.3,0.81,1.01,1.14,1.02,1.01,1.05,1.07,0.83
c_1,1.01,0.79,1.14,1.0,1.47,0.83,0.95,0.75,1.02,0.67,0.79,0.94,0.96,0.93,0.95,1.0
b_1,1.02,0.98,1.08,0.67,1.0,1.55,1.16,1.09,0.98,1.0,0.97,1.0,1.08,0.85,0.92,1.09
a_1,1.12,0.98,0.99,1.16,0.66,1.0,1.16,1.06,1.07,1.23,1.28,1.07,1.22,1.23,1.01,1.09
h_1,1.15,0.95,1.03,1.07,0.89,0.83,1.0,0.95,1.18,0.89,1.0,0.95,1.0,1.04,0.95,1.14
c_0,1.15,1.06,0.79,1.22,0.95,0.9,1.01,1.0,1.05,1.19,1.36,1.02,1.08,1.2,1.01,0.99
g_1,0.9,0.98,1.22,1.01,0.99,0.94,0.83,0.95,1.0,0.88,0.9,1.18,0.89,0.94,0.88,0.92
d_0,0.92,0.78,1.04,1.5,1.02,0.83,1.16,0.87,1.14,1.0,1.0,0.93,1.13,1.1,0.99,1.04
b_0,1.13,1.01,0.88,1.22,1.07,0.77,1.01,0.75,1.11,0.97,1.0,0.96,1.08,1.4,0.99,0.91
f_0,1.11,0.86,0.97,1.03,1.04,0.94,1.05,1.03,0.83,1.02,1.02,1.0,1.08,1.17,1.39,0.81
h_0,1.11,0.99,1.01,1.04,0.93,0.81,0.98,0.93,1.14,0.89,0.91,0.94,1.0,0.88,1.03,1.11
a_0,1.17,0.89,0.94,1.12,1.13,0.85,0.96,0.88,1.1,0.97,0.78,0.91,1.1,1.0,1.05,0.92
e_0,1.16,0.96,0.96,1.03,1.08,0.93,1.09,0.96,1.17,0.97,1.02,0.71,1.02,0.95,1.0,0.92
g_0,0.94,0.9,1.18,0.98,0.94,0.89,0.88,0.99,1.09,0.98,1.08,1.28,0.92,1.08,1.1,1.0
