,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.77,1.44,1.21,1.6,1.31,1.17,5.23,4.48,10.69,4.63,6.45,6.11,8.8,7.83,5.83,4.26
f_1,2.35,5.93,1.1,1.24,1.02,1.19,4.61,4.39,6.37,6.43,6.5,2.59,7.63,7.43,5.21,5.49
d_1,1.18,1.44,6.47,0.97,1.37,1.17,4.65,5.07,2.93,11.77,7.36,6.94,10.32,9.93,7.08,6.5
c_1,1.24,1.24,1.38,6.63,2.29,1.23,4.5,4.46,5.36,2.51,3.85,5.61,9.71,9.16,7.3,5.95
b_1,1.13,1.31,1.35,1.36,7.26,2.4,3.48,3.64,6.04,6.48,3.19,6.93,10.33,9.51,5.56,7.21
a_1,1.26,1.39,1.17,1.48,1.42,10.75,5.08,5.25,5.72,4.25,6.95,6.53,9.51,8.9,3.53,6.23
h_1,1.35,2.0,1.72,1.58,1.49,1.27,15.53,7.29,5.8,6.97,8.58,9.9,6.6,15.47,8.28,9.17
g_1,1.44,1.44,2.46,1.65,1.22,1.3,6.03,19.25,5.0,7.52,6.66,13.81,11.13,6.66,8.82,8.3
d_0,1.57,1.76,0.67,3.1,1.61,1.43,5.52,5.91,14.7,5.09,8.38,8.82,11.21,10.31,8.28,8.68
c_0,1.72,1.45,1.95,1.08,1.03,1.69,6.84,6.68,7.91,16.9,16.99,9.88,10.75,14.35,9.88,7.65
b_0,1.44,1.69,1.87,1.93,1.0,1.35,6.96,5.99,7.58,6.41,19.36,7.33,12.43,13.6,18.24,8.38
f_0,1.23,0.93,1.9,1.78,1.52,1.67,5.19,6.73,7.8,8.75,7.96,18.82,12.57,15.62,10.37,19.21
h_0,1.59,2.56,1.54,1.66,1.48,1.55,3.74,7.66,7.56,7.04,7.71,6.94,7.14,15.67,9.03,7.1
g_0,1.38,1.59,2.83,1.66,1.63,1.52,5.86,3.38,6.31,6.68,7.92,11.35,11.35,7.09,6.16,7.29
a_0,1.54,1.68,1.58,1.87,1.46,1.14,6.15,5.41,7.67,9.2,9.32,7.54,14.03,12.12,25.26,7.15
e_0,0.71,1.58,1.72,1.98,1.73,1.68,7.36,5.78,7.94,8.24,8.38,9.04,11.5,13.34,8.83,26.67
