,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.93,1.07,0.98,0.89,0.88,0.87,1.06,1.03,0.91,0.91,0.88,0.88,0.89,1.04
e_1,0.81,1.0,0.96,1.23,1.01,0.95,1.0,0.96,1.04,1.27,1.0,1.15,1.01,1.07,1.07,1.06
d_1,1.13,1.04,1.0,0.87,0.92,1.02,0.98,1.25,0.84,1.01,1.14,1.0,1.0,1.06,1.05,0.86
c_1,0.95,0.82,1.13,1.0,1.38,0.91,0.97,0.82,1.04,0.69,0.81,0.96,0.98,0.92,0.98,1.0
b_1,1.03,0.95,1.08,0.72,1.0,1.5,1.12,1.08,0.97,0.95,0.95,0.97,1.04,0.84,0.94,1.1
a_1,1.14,1.03,0.97,1.06,0.7,1.0,1.17,1.07,1.09,1.22,1.25,1.08,1.14,1.12,1.01,1.09
h_1,1.14,0.97,1.04,1.05,0.91,0.85,1.0,0.97,1.11,0.92,0.98,0.93,1.04,1.03,0.96,1.13
c_0,1.17,1.05,0.82,1.18,0.95,0.87,1.0,1.0,1.05,1.18,1.31,0.99,1.06,1.23,1.03,0.96
g_1,0.94,0.93,1.17,1.0,0.99,0.96,0.87,0.98,1.0,0.92,0.96,1.19,0.91,0.97,0.93,0.95
d_0,0.92,0.78,1.01,1.45,1.09,0.82,1.13,0.9,1.12,1.0,0.99,0.97,1.08,1.04,1.01,1.08
b_0,1.1,1.03,0.89,1.21,1.04,0.81,1.04,0.79,1.04,0.99,1.0,0.96,1.09,1.34,1.01,0.93
f_0,1.04,0.9,0.96,1.0,1.07,0.9,1.08,1.05,0.84,1.03,1.03,1.0,1.08,1.21,1.31,0.81
h_0,1.11,1.0,1.01,1.02,0.98,0.86,0.99,0.96,1.13,0.94,0.93,0.92,1.0,0.9,0.99,1.09
a_0,1.14,0.94,0.91,1.09,1.14,0.94,0.97,0.9,1.04,0.97,0.82,0.87,1.07,1.0,1.05,0.93
e_0,1.16,0.96,1.0,1.01,1.0,0.95,1.04,0.97,1.08,0.95,1.03,0.76,1.02,0.91,1.0,0.9
g_0,0.97,0.9,1.15,1.01,0.95,0.92,0.92,1.01,1.04,0.94,1.08,1.25,0.93,1.06,1.11,1.0
