,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.2,0.47,0.22,0.21,0.17,0.14,0.4,0.41,0.44,0.34,0.47,0.11,0.62,0.41,0.43,0.29
e_1,0.22,2.25,0.18,0.25,0.25,0.19,0.31,0.34,0.93,0.51,0.44,0.43,0.45,0.35,0.49,0.06
d_1,0.27,0.17,2.37,0.17,0.17,0.18,0.47,0.43,0.12,0.91,0.57,0.53,0.68,0.35,0.48,0.38
c_1,0.22,0.25,0.19,2.42,0.37,0.17,0.46,0.35,0.45,0.11,0.3,0.53,0.53,0.44,0.44,0.29
b_1,0.25,0.24,0.19,0.26,2.59,0.31,0.44,0.3,0.41,0.43,0.08,0.32,0.76,0.22,0.58,0.38
a_1,0.27,0.19,0.28,0.17,0.22,3.01,0.43,0.37,0.42,0.41,0.47,0.48,0.77,0.13,0.38,0.31
h_1,0.62,0.4,0.38,0.39,0.26,0.23,2.8,0.73,0.76,0.89,0.84,0.59,0.4,0.7,1.33,0.69
g_1,0.38,0.32,0.6,0.39,0.29,0.26,0.69,3.11,0.72,0.66,0.75,1.17,0.84,0.71,0.34,0.49
d_0,0.5,0.33,0.13,0.78,0.33,0.29,0.62,0.49,2.26,0.76,0.9,0.74,0.75,0.44,0.79,0.92
c_0,0.51,0.35,0.49,0.16,0.25,0.26,0.85,0.6,0.91,2.33,1.72,0.69,1.3,0.84,1.2,0.89
b_0,0.53,0.35,0.48,0.42,0.12,0.28,0.78,0.8,0.89,0.88,2.45,0.67,1.07,1.28,1.07,0.82
f_0,0.09,0.34,0.57,0.43,0.36,0.32,0.81,0.66,1.1,1.23,0.86,2.64,0.99,0.75,1.23,1.41
h_0,0.59,0.39,0.41,0.41,0.35,0.24,0.29,0.81,0.78,0.76,0.81,0.7,0.26,0.7,1.06,0.6
a_0,0.51,0.34,0.46,0.34,0.36,0.1,0.86,0.54,0.85,0.71,0.88,0.94,1.21,2.8,1.08,1.05
g_0,0.39,0.34,0.76,0.37,0.29,0.31,0.47,0.24,0.84,0.7,0.84,1.05,0.86,0.62,0.47,0.66
e_0,0.63,0.1,0.44,0.42,0.31,0.22,0.73,0.68,0.91,0.95,0.96,0.72,1.2,0.96,1.01,2.98
