,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.32,0.59,1.07,0.57,0.48,0.33,0.87,0.78,1.01,1.13,1.08,0.46,1.35,0.85,0.58,1.23
d_1,0.67,2.34,0.51,0.43,0.49,0.44,1.11,1.03,2.23,0.65,1.48,1.29,1.39,1.13,1.1,1.14
e_1,0.68,0.49,2.39,0.68,0.5,0.38,1.02,0.96,1.11,2.2,1.04,1.27,1.64,0.99,0.67,1.3
c_1,0.59,0.53,0.54,2.44,1.0,0.34,1.02,0.81,0.47,1.07,0.84,1.1,1.33,0.9,0.84,1.26
b_1,0.54,0.59,0.52,0.53,2.57,0.94,0.8,0.81,0.87,1.04,0.43,1.02,1.44,0.79,1.06,1.55
a_1,0.63,0.61,0.42,0.59,0.58,3.09,1.22,0.99,1.27,0.95,1.2,1.29,1.84,0.46,1.12,1.37
h_1,0.93,0.71,0.67,0.79,0.42,0.52,3.31,1.5,1.4,1.27,1.69,1.25,1.13,1.19,1.16,2.27
g_1,0.59,1.19,0.53,0.64,0.64,0.49,1.01,3.37,1.35,1.23,1.41,2.16,1.56,1.18,1.3,1.11
c_0,0.87,0.9,0.7,0.49,0.4,0.44,1.17,1.24,2.79,1.52,2.79,1.69,2.15,1.37,1.26,1.79
d_0,0.75,0.37,0.67,1.31,0.6,0.48,1.25,1.14,0.99,2.73,1.63,1.46,1.68,1.25,1.16,1.46
b_0,0.79,0.91,0.71,0.79,0.3,0.39,1.16,1.25,1.64,1.3,2.99,1.49,1.97,2.45,1.2,1.61
f_0,0.49,0.81,0.52,0.87,0.56,0.52,1.23,1.14,1.42,1.8,1.5,2.87,2.01,1.3,2.82,1.7
h_0,1.04,0.88,0.69,0.58,0.55,0.45,0.58,1.66,1.68,1.42,1.3,1.3,1.35,1.11,1.15,2.19
a_0,0.77,0.78,0.7,0.92,0.55,0.31,1.02,1.17,1.5,1.63,1.32,1.43,1.93,3.07,1.41,1.59
e_0,0.83,0.8,0.51,0.71,0.57,0.58,1.32,1.41,1.72,1.43,1.91,1.28,1.95,1.62,3.1,1.57
g_0,0.68,1.19,0.57,0.62,0.55,0.51,1.1,0.87,1.47,1.11,1.57,2.27,1.81,1.01,1.33,1.08
