,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.67,6.51,5.69,5.84,6.12,5.84,2.32,,1.91,2.64,2.24,2.09,1.24,2.56,1.56,1.12
e_1,5.04,0.66,3.59,5.27,6.41,5.7,3.2,2.09,3.0,2.25,2.74,2.27,1.8,1.53,,1.95
f_1,6.49,7.95,0.66,5.81,5.06,7.65,1.85,2.22,3.21,1.97,,2.2,1.12,1.9,1.61,1.76
c_1,6.47,5.72,5.64,0.65,6.04,6.55,2.41,1.28,2.8,,1.75,2.17,2.02,2.4,,2.3
b_1,6.53,6.49,8.39,4.42,0.62,6.37,2.9,1.75,2.78,3.0,1.74,,1.92,2.86,2.36,2.16
a_1,5.9,6.82,5.93,7.03,4.58,0.58,3.91,2.18,3.31,3.39,3.11,3.22,2.51,,,2.02
h_1,4.92,4.87,5.07,6.01,4.35,4.62,0.6,2.23,3.24,1.57,1.66,1.65,,1.51,1.96,1.49
d_0,,3.24,4.96,5.9,5.35,4.03,2.23,0.72,1.98,1.67,1.74,1.47,1.25,1.59,1.31,1.59
g_1,6.99,5.2,4.59,5.5,5.65,5.13,1.63,2.52,0.57,2.66,1.85,1.96,1.52,,1.78,
c_0,2.92,4.92,4.89,,4.86,4.11,2.25,1.99,1.69,0.69,2.18,2.53,1.78,1.47,1.62,1.28
f_0,4.68,5.11,,5.3,5.9,4.04,2.73,2.05,1.53,1.89,0.69,1.94,1.52,1.46,2.19,1.06
b_0,6.43,4.96,4.94,6.19,,4.72,2.73,2.28,1.82,1.07,1.74,0.67,1.42,2.89,1.99,1.32
h_0,5.15,4.76,6.25,3.34,4.59,4.12,,1.78,1.92,1.5,1.66,1.46,,1.64,1.23,1.22
a_0,4.82,6.69,6.8,6.89,6.32,,2.43,2.3,,2.76,2.23,1.06,1.83,0.63,,1.54
e_0,7.99,,8.01,,5.0,,2.28,2.21,2.47,2.34,1.29,2.24,1.85,,0.62,1.79
g_0,6.12,5.42,5.25,3.71,4.11,4.68,1.88,1.82,,1.46,1.83,2.05,1.28,1.86,1.6,
