,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.32,2.46,2.06,2.25,1.82,0.79,0.75,0.61,0.82,0.59,0.66,0.55,0.48,0.73,0.49
f_1,2.38,1.06,2.04,1.87,1.74,1.54,0.62,0.67,0.6,0.84,0.61,0.84,0.37,0.57,0.5,0.48
c_1,1.72,2.32,1.06,2.73,2.39,1.65,0.86,0.39,0.74,0.78,0.55,0.54,0.49,0.57,0.58,0.48
d_1,2.79,2.35,2.03,1.05,2.19,1.74,0.8,1.02,0.63,0.57,0.68,0.69,0.47,0.6,0.52,0.32
b_1,2.57,3.14,1.6,2.66,1.06,3.0,1.03,0.84,1.04,0.94,1.02,0.63,0.54,0.73,0.65,0.59
a_1,3.36,3.65,3.63,3.48,1.61,1.07,1.22,1.09,0.96,1.24,1.2,0.85,0.89,1.05,0.73,0.82
h_1,5.48,6.44,5.64,5.65,5.41,4.59,1.32,1.74,1.77,2.02,1.51,1.44,1.43,1.34,1.34,1.25
d_0,4.15,6.59,7.78,7.88,6.47,5.62,2.62,1.53,1.6,2.29,1.89,1.84,1.37,1.54,1.57,1.6
c_0,7.15,7.94,9.02,4.7,6.22,5.28,2.44,2.55,1.51,2.55,2.47,1.82,1.5,1.67,1.64,1.38
g_1,6.64,7.5,7.14,6.85,6.52,6.06,1.87,2.13,1.98,1.33,2.11,2.16,1.25,1.59,1.72,1.82
b_0,6.77,7.03,9.39,5.66,11.48,5.55,2.77,2.08,1.27,2.61,1.47,1.92,1.52,1.99,1.65,1.67
f_0,6.91,12.96,8.85,7.08,7.69,7.37,2.99,2.26,2.27,1.78,2.21,1.5,1.96,1.65,2.02,1.24
h_0,8.67,11.1,8.57,8.74,8.82,7.5,4.73,2.8,2.86,3.61,2.57,2.73,2.56,2.27,2.38,1.95
a_0,10.87,10.38,9.25,8.5,11.65,12.43,3.81,2.93,2.89,3.08,1.86,2.78,2.18,1.58,1.97,2.21
e_0,11.94,12.68,10.07,9.94,9.18,8.84,3.51,3.18,3.1,3.39,3.29,1.9,2.34,3.25,1.65,1.87
g_0,10.77,11.94,11.33,11.09,10.3,8.79,3.39,3.3,3.11,4.36,2.79,3.2,2.04,2.64,2.99,2.63
