,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9250.05,3507.67,3162.22,7541.05,9136.39,33682.45,3336493.11,6029669.25,14499981.71,28363999.36,25448955.52,28523415.76,74390985.95,137764676.88,57139188.22,270682735.96
f_1,4488.39,13256.65,2878.0,6564.53,7479.18,31706.39,2905690.35,4804097.94,11428928.21,15255591.68,12188926.21,26008106.34,79287985.55,119219426.81,86907265.27,242270184.62
d_1,2142.38,3325.29,14172.75,4707.86,8482.16,35316.82,3616586.73,5941215.92,27227022.4,9236434.02,30509633.3,34567595.9,77221724.83,107104963.89,142533421.83,297216618.1
c_1,2293.99,2909.58,3399.49,29167.19,16795.98,30710.65,3330194.44,5476110.67,4285578.25,15601550.27,28684730.3,19470514.61,72344292.22,109437167.53,113744000.81,261634979.45
b_1,2223.04,3743.63,3219.38,6695.59,44379.47,63893.95,3202791.17,5828907.2,11012779.63,14343591.3,28347609.95,12234982.79,47165565.1,140603612.61,101271937.39,255111489.39
a_1,2897.13,3385.06,3640.11,5398.03,7152.61,239745.82,3406563.12,5647683.22,13767467.23,17399072.07,30574937.3,28777719.56,43409110.87,155992301.84,155020760.67,299161306.2
h_1,2443.32,6120.58,4309.1,7714.08,9941.61,38926.98,9271867.15,9040566.11,14968793.89,17665310.97,27400371.31,40990794.57,96188464.26,114407575.07,153678010.37,460551876.7
g_1,2682.65,3690.23,6526.8,8336.61,10874.72,31162.29,3030113.21,18888890.86,15783512.89,16079191.56,51814486.67,32599011.22,78187356.7,180756890.43,119158489.77,286813751.62
c_0,2526.38,4610.22,5707.81,6138.4,7599.24,40852.27,4271195.13,6755175.81,31045349.81,18282368.2,36498987.38,77357571.18,109051423.01,191586004.45,190432578.71,416700040.99
d_0,2874.65,4602.99,2677.05,13998.68,10779.76,27292.91,3968355.05,7809607.59,13501782.81,37369410.02,33517492.67,34652906.91,106385330.06,180909706.23,176016462.05,315397663.47
f_0,2438.69,2678.28,5318.74,8704.35,9147.1,40145.69,4494016.89,6646510.18,19530435.29,23074865.13,78281253.59,36367875.82,97453412.55,167319005.21,369425232.47,404056408.58
b_0,2729.5,4846.22,4687.96,9568.23,4535.71,31673.06,3935792.8,7208580.06,17234042.5,21500834.58,42636185.32,76953180.43,210453820.94,170226591.11,172841767.79,425385047.57
a_0,2763.66,5332.52,5148.69,8380.26,9251.29,21258.0,4393544.76,7671012.91,16437267.86,19678237.66,37085116.0,36221123.57,258539526.17,181485329.25,151656259.71,395605174.64
h_0,2865.26,6292.39,4951.17,6838.06,9714.38,40071.89,2416168.7,9738410.75,15148070.38,17609890.39,32660587.22,30876732.3,83583817.4,113930280.22,124787188.49,432935564.9
e_0,2047.24,5011.88,4372.28,8054.11,12708.09,34510.47,4008170.86,6377502.77,17233700.6,20344472.12,37830037.9,42222935.08,119455427.51,176538644.81,419126911.49,363038205.12
g_0,2771.08,3268.3,7186.37,7912.61,9108.33,34872.09,3703471.7,4730085.22,16512872.18,17471833.76,52711707.22,39519833.04,96244912.89,159305110.44,172741122.35,260086854.4
