,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,1.36,1.67,2.06,1.5,1.67,0.31,0.34,0.57,0.3,0.35,1.19,0.15,0.33,0.38,0.37
e_1,0.9,0.16,1.69,1.81,2.05,1.67,0.45,0.39,0.53,0.34,0.35,0.54,0.26,0.36,1.53,0.24
d_1,1.81,2.08,0.16,2.08,1.34,1.56,0.52,0.29,0.25,1.5,0.37,0.3,0.21,0.33,0.36,0.19
c_1,1.92,1.36,2.5,0.14,2.45,1.53,0.44,1.39,0.45,0.17,0.29,0.29,0.22,0.26,0.24,0.25
b_1,1.65,2.04,1.77,0.76,0.14,2.04,0.63,0.39,0.46,0.44,1.24,0.32,0.31,0.38,0.33,0.23
a_1,1.74,1.7,1.78,2.22,0.85,0.1,0.41,0.35,0.57,0.36,0.49,0.45,0.32,2.1,0.37,0.25
h_1,1.0,0.82,1.02,1.01,0.92,0.79,0.07,0.2,0.38,0.19,0.19,0.18,0.33,0.2,0.2,0.12
c_0,1.17,0.95,0.45,3.7,1.06,0.95,0.29,0.08,0.29,0.27,0.17,0.16,0.15,0.18,0.15,0.14
g_1,0.97,1.12,0.91,0.98,0.89,1.18,0.21,0.17,0.05,0.24,0.17,0.18,0.1,0.15,0.17,0.24
d_0,0.88,0.49,1.9,1.14,1.05,0.79,0.37,0.19,0.45,0.08,0.22,0.19,0.13,0.2,0.17,0.11
b_0,0.95,0.98,0.68,0.92,3.38,1.13,0.26,0.09,0.28,0.18,0.06,0.18,0.16,0.17,0.2,0.1
f_0,2.99,0.87,0.76,0.99,0.98,0.69,0.31,0.15,0.17,0.19,0.15,0.06,0.14,0.16,0.18,0.07
h_0,1.13,0.84,0.78,0.92,0.89,0.93,0.72,0.16,0.31,0.22,0.16,0.16,0.38,0.15,0.23,0.16
a_0,1.12,1.13,0.76,0.83,1.13,,0.22,0.15,0.29,0.21,0.09,0.13,0.17,0.05,0.17,0.19
e_0,1.04,1.79,0.74,1.01,1.06,1.05,0.29,0.16,0.36,0.19,0.13,0.07,0.11,0.16,0.04,0.12
g_0,0.98,0.89,0.95,0.83,0.91,0.91,0.24,0.21,0.85,0.27,0.2,0.18,0.12,0.19,0.18,0.37
