,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.9,0.25,0.17,0.23,0.15,0.1,0.19,0.19,0.38,0.21,0.19,0.18,0.13,0.22,0.15,0.08
f_1,0.38,0.89,0.23,0.21,0.14,0.12,0.22,0.14,0.19,0.16,0.19,0.07,0.13,0.16,0.16,0.07
d_1,0.22,0.25,0.89,0.17,0.17,0.12,0.21,0.19,0.09,0.37,0.22,0.18,0.15,0.2,0.14,0.1
c_1,0.23,0.25,0.2,0.89,0.32,0.08,0.19,0.15,0.19,0.08,0.12,0.17,0.12,0.2,0.14,0.11
b_1,0.23,0.24,0.22,0.2,0.89,0.22,0.18,0.15,0.16,0.15,0.07,0.17,0.12,0.19,0.13,0.1
a_1,0.19,0.22,0.23,0.26,0.16,0.88,0.23,0.18,0.2,0.21,0.19,0.17,0.06,0.23,0.15,0.16
h_1,0.29,0.38,0.25,0.25,0.22,0.09,0.58,0.27,0.23,0.24,0.23,0.21,0.16,0.18,0.24,0.15
g_1,0.25,0.19,0.4,0.28,0.19,0.15,0.23,0.56,0.19,0.25,0.2,0.36,0.15,0.2,0.13,0.15
d_0,0.26,0.28,0.19,0.45,0.18,0.13,0.21,0.22,0.45,0.16,0.21,0.23,0.13,0.23,0.17,0.15
c_0,0.26,0.32,0.31,0.18,0.15,0.15,0.22,0.22,0.23,0.45,0.42,0.25,0.2,0.27,0.18,0.13
b_0,0.26,0.33,0.28,0.29,0.12,0.16,0.24,0.24,0.23,0.22,0.47,0.25,0.33,0.26,0.22,0.14
f_0,0.2,0.18,0.34,0.29,0.2,0.15,0.31,0.27,0.26,0.25,0.24,0.46,0.2,0.27,0.18,0.3
a_0,0.27,0.3,0.36,0.26,0.21,0.08,0.27,0.23,0.23,0.21,0.26,0.22,0.41,0.21,0.22,0.16
h_0,0.25,0.41,0.3,0.25,0.21,0.14,0.15,0.26,0.19,0.21,0.2,0.18,0.18,0.13,0.25,0.12
g_0,0.24,0.26,0.4,0.21,0.23,0.12,0.22,0.19,0.25,0.26,0.2,0.34,0.18,0.27,0.13,0.16
e_0,0.14,0.35,0.31,0.31,0.25,0.14,0.27,0.22,0.25,0.24,0.2,0.24,0.16,0.23,0.2,0.37
