,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,98.11,58.91,35.4,61.21,63.61,254.8,4784.45,8451.92,10874.23,13982.94,8465.13,19075.43,64025.6,37607.49,66276.42,134931.25
e_1,27.05,109.0,35.56,70.45,52.99,277.2,5234.91,9489.74,10790.35,27113.13,20015.33,20156.16,62649.9,38029.64,65982.44,129003.27
d_1,31.96,30.79,112.47,58.21,74.3,284.39,4689.8,6758.62,21245.58,6747.06,16787.63,17650.5,54583.86,61768.53,52308.12,96197.11
c_1,26.32,26.75,27.19,175.0,88.34,222.95,3845.29,7475.78,4534.58,11359.49,13504.32,13672.69,51535.28,47318.49,46328.6,98280.16
b_1,27.18,27.22,30.82,38.39,184.99,361.3,3880.72,7380.63,8492.24,14209.6,16188.37,8149.48,51843.04,44497.17,44091.99,93637.12
a_1,17.53,13.59,17.97,34.43,25.25,617.86,2707.17,3803.16,7133.65,8636.17,7730.72,9933.71,35016.22,30869.6,,66534.0
h_1,11.43,9.64,11.74,20.98,20.44,85.04,3011.24,2872.41,2977.68,4524.94,6539.19,4660.33,13498.58,13939.04,22862.99,54496.68
g_1,8.0,7.58,14.46,14.4,15.46,62.23,1211.13,4815.12,2375.41,2831.8,6505.28,4598.18,13831.56,13442.45,17744.36,20185.53
c_0,8.93,9.43,7.64,8.68,16.41,57.95,1342.74,2390.03,4807.26,4124.95,4798.42,7151.53,16742.7,14457.88,19096.29,36960.88
d_0,7.92,6.17,5.62,23.8,14.01,59.75,1140.63,2207.87,2096.44,5972.4,3491.54,3776.34,14611.33,15498.1,14651.33,30635.5
f_0,4.06,6.29,9.5,15.27,14.48,54.95,874.63,1629.12,2626.42,3992.5,6730.2,3946.83,17267.2,23475.45,15792.52,28213.88
b_0,6.56,8.18,7.93,14.91,8.6,48.73,1319.5,1934.76,2088.12,4195.62,4098.14,6435.99,16881.09,13414.16,26534.05,25447.01
h_0,5.91,5.74,5.98,9.8,7.08,33.37,419.68,1630.25,1691.65,2243.4,2374.9,2482.97,5726.96,6482.85,10701.43,21693.28
e_0,6.44,2.56,5.75,8.56,9.59,44.23,1015.04,1202.65,2035.78,1932.77,1763.67,2576.39,12383.84,17392.71,11206.04,19513.68
a_0,4.47,4.08,6.01,8.72,9.65,,661.61,1289.77,1888.5,2085.62,2326.91,2272.66,9401.45,9214.66,18760.57,23176.35
g_0,2.52,3.95,6.21,8.02,7.64,33.39,479.24,773.3,1412.71,1594.98,2808.65,2204.18,7777.07,6641.99,8148.58,10494.29
