,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.18,1.09,0.99,0.86,0.79,0.36,0.49,0.4,0.38,0.37,0.39,0.26,0.36,0.31,0.32
e_1,0.72,0.65,1.23,1.03,1.31,1.02,0.5,0.53,0.53,0.39,0.4,0.53,0.37,0.38,0.34,0.54
c_1,1.1,0.92,0.64,1.29,1.12,1.0,0.55,0.5,0.26,0.42,0.37,0.4,0.31,0.33,0.34,0.39
d_1,1.17,1.18,1.15,0.63,1.07,1.02,0.45,0.34,0.5,0.43,0.36,0.37,0.3,0.37,0.22,0.35
b_1,1.59,1.08,0.77,1.33,0.61,1.23,0.61,0.58,0.45,0.57,0.64,0.43,0.38,0.43,0.39,0.33
a_1,1.59,1.41,1.36,1.31,0.86,0.56,0.66,0.68,0.65,0.51,0.54,0.64,0.5,0.65,0.44,0.45
h_1,1.99,1.72,1.65,1.75,1.57,1.48,0.55,0.82,0.64,0.65,0.66,0.62,0.64,0.55,0.55,0.58
g_1,1.95,1.95,1.84,1.9,1.77,1.67,0.73,0.53,0.68,0.64,0.68,0.68,0.45,0.7,0.55,0.63
d_0,1.79,1.25,2.31,2.38,1.99,1.55,0.96,0.88,0.57,0.58,0.73,0.75,0.61,0.72,0.64,0.74
c_0,2.06,2.12,2.93,1.32,1.83,1.75,0.87,0.9,1.01,0.57,0.78,0.73,0.66,0.92,0.62,0.81
b_0,2.16,2.05,2.81,1.79,2.42,1.93,0.9,0.77,0.77,0.43,0.55,0.64,0.58,0.76,0.51,0.61
f_0,2.73,2.02,2.13,1.85,2.04,1.86,1.0,0.67,0.79,0.69,0.77,0.54,0.65,0.72,0.42,0.84
h_0,2.47,2.04,2.2,2.02,1.99,1.7,0.96,0.94,0.79,0.67,0.75,0.66,0.76,0.75,0.62,0.66
a_0,2.23,2.18,2.46,2.33,3.02,2.46,1.0,0.82,0.8,0.6,0.51,0.77,0.64,0.53,0.6,0.76
g_0,2.65,2.38,2.41,2.42,2.25,2.01,0.91,1.16,0.87,0.74,0.8,0.93,0.62,0.83,0.77,0.84
e_0,3.32,2.45,2.53,2.24,2.81,2.85,1.24,0.87,0.87,0.71,0.88,0.49,0.73,0.7,0.58,0.49
