,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.4,0.9,1.73,1.08,0.92,0.68,1.91,1.56,2.16,1.88,1.46,1.77,2.58,2.48,1.88,1.08
d_1,1.19,2.43,1.08,0.85,0.99,0.72,1.83,1.94,1.69,3.56,2.12,2.65,3.09,2.57,1.98,1.82
e_1,1.13,0.9,2.42,1.2,0.96,0.87,1.98,1.75,3.69,2.02,2.07,2.16,2.84,2.49,1.88,1.46
c_1,1.02,1.02,0.93,2.49,1.78,0.8,1.93,1.6,1.93,1.37,1.95,1.57,2.65,2.53,1.49,1.73
b_1,1.1,1.0,1.02,1.1,2.59,1.53,2.03,1.72,1.95,1.94,2.06,1.57,2.42,2.68,1.24,1.91
a_1,1.14,1.16,0.98,1.22,0.91,3.14,1.99,1.98,2.18,1.99,2.4,2.34,2.96,2.57,1.24,2.05
h_1,1.45,1.19,1.06,1.15,1.02,0.82,3.48,2.21,2.29,2.05,2.03,2.33,2.1,3.38,1.76,2.0
g_1,1.01,1.64,0.98,1.1,1.11,0.93,1.84,3.68,1.8,2.52,3.04,2.41,2.83,2.09,1.61,2.26
d_0,1.12,0.97,1.05,1.85,1.21,0.76,2.07,1.79,3.28,1.58,1.9,1.96,2.43,2.79,2.12,1.62
c_0,1.2,1.24,1.08,0.97,0.93,1.02,2.31,2.14,2.56,3.47,2.66,3.91,3.14,2.76,2.58,2.31
f_0,0.96,1.45,0.96,1.12,1.1,0.98,2.22,2.42,2.24,2.66,3.61,2.5,3.36,2.74,2.11,3.92
b_0,1.36,1.38,1.03,1.19,0.88,0.75,2.14,1.87,2.33,2.16,2.46,3.47,3.43,2.93,3.77,2.01
h_0,1.5,1.24,1.15,1.05,1.05,0.88,1.6,2.18,2.11,2.15,2.35,2.31,2.24,3.35,1.88,1.85
g_0,0.95,1.61,1.1,1.09,1.01,0.91,2.17,1.77,2.14,2.32,3.09,2.49,2.54,2.17,2.16,2.05
a_0,1.22,1.35,1.1,1.13,0.95,0.69,2.53,2.03,2.51,2.15,2.67,2.42,3.34,3.09,3.78,2.04
e_0,1.23,1.39,0.64,1.24,1.11,0.95,2.46,2.13,2.09,2.34,2.43,2.55,3.35,3.27,2.09,3.83
