,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.65,1.38,1.59,1.25,1.74,0.98,0.69,0.69,0.32,0.59,0.55,0.48,0.44,0.46,0.42,0.39
f_1,1.44,0.65,1.36,1.6,1.27,1.16,0.49,0.73,0.51,0.48,0.69,0.45,0.33,0.36,0.45,0.46
d_1,1.56,1.32,0.65,1.59,1.53,1.38,0.64,0.44,0.85,0.54,0.44,0.52,0.42,0.53,0.41,0.29
e_1,1.54,0.96,1.63,0.65,1.45,1.58,0.68,0.69,0.64,0.55,0.59,0.51,0.47,1.18,0.54,0.49
b_1,0.89,1.82,1.53,1.44,0.64,1.88,0.86,0.73,0.63,0.67,0.53,0.93,0.45,0.47,0.57,0.43
a_1,2.53,2.4,1.89,1.7,0.92,0.57,0.71,0.96,0.72,0.7,0.58,0.78,0.52,0.73,0.92,0.61
h_1,2.11,2.29,1.93,2.38,1.95,2.02,0.58,0.94,0.93,0.8,0.73,0.77,0.84,0.59,0.69,0.73
g_1,2.26,2.32,2.45,2.21,2.58,1.8,0.88,0.56,0.86,0.79,1.03,0.75,0.5,0.82,0.87,0.88
d_0,2.87,2.49,3.33,1.4,2.46,1.98,1.16,1.06,0.63,0.81,1.11,0.78,0.67,0.95,0.89,0.72
c_0,4.61,2.58,1.48,2.39,2.31,2.29,1.1,1.02,1.15,0.61,0.87,1.06,0.77,1.08,1.0,0.7
f_0,2.57,4.06,2.44,2.3,2.39,2.21,1.16,0.74,0.91,0.88,0.6,1.01,0.8,1.18,1.22,0.58
b_0,3.28,2.7,2.04,2.5,4.2,2.34,1.13,1.13,0.98,0.56,0.81,0.6,0.8,0.89,1.23,0.75
h_0,2.67,3.13,2.8,2.6,2.63,2.47,1.56,1.46,1.13,1.06,1.13,0.88,1.06,0.96,0.93,0.82
e_0,2.95,5.39,2.56,3.72,3.17,2.05,1.35,1.05,1.05,0.88,0.61,0.88,0.92,0.55,1.05,0.82
a_0,3.29,2.83,2.81,2.9,2.95,3.55,1.25,1.29,1.07,0.93,0.86,0.6,0.84,0.93,0.58,0.87
g_0,3.16,3.35,3.13,2.7,3.15,2.46,1.09,1.65,1.14,0.98,1.13,0.98,0.69,1.05,0.96,1.03
