,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.49,0.83,0.52,0.45,0.28,0.35,0.37,0.32,0.3,0.32,0.21,0.28,0.22,0.15,0.23
d_1,0.67,0.95,0.56,0.43,0.47,0.38,0.39,0.29,0.31,0.55,0.34,0.29,0.33,0.27,0.25,0.25
e_1,0.54,0.53,0.95,0.68,0.45,0.37,0.36,0.57,0.32,0.33,0.36,0.36,0.33,0.24,0.23,0.28
c_1,0.59,0.62,0.48,0.95,0.77,0.43,0.33,0.3,0.29,0.23,0.27,0.28,0.32,0.24,0.21,0.28
b_1,0.57,0.64,0.57,0.45,0.95,0.66,0.42,0.35,0.33,0.36,0.24,0.32,0.34,0.19,0.23,0.31
a_1,0.81,0.68,0.64,0.54,0.53,0.94,0.45,0.42,0.4,0.38,0.37,0.34,0.39,0.24,0.28,0.27
h_1,1.06,0.82,0.84,0.92,0.62,0.53,0.79,0.51,0.6,0.44,0.48,0.43,0.39,0.32,0.33,0.51
d_0,0.89,0.79,0.67,1.4,0.81,0.61,0.59,0.7,0.46,0.36,0.54,0.5,0.51,0.38,0.37,0.41
g_1,0.84,1.18,0.77,0.94,0.69,0.56,0.57,0.5,0.77,0.52,0.52,0.61,0.46,0.44,0.38,0.41
c_0,0.98,0.75,0.99,0.9,0.61,0.64,0.66,0.73,0.5,0.72,0.92,0.54,0.55,0.47,0.42,0.48
b_0,0.98,0.97,0.87,1.06,0.66,0.53,0.67,0.57,0.54,0.48,0.71,0.49,0.6,0.71,0.46,0.48
f_0,0.94,0.95,0.74,1.0,0.9,0.7,0.64,0.59,0.54,0.6,0.56,0.69,0.56,0.43,0.71,0.41
h_0,1.34,0.98,1.01,0.96,0.78,0.55,0.57,0.62,0.73,0.56,0.54,0.48,0.5,0.4,0.41,0.6
a_0,1.05,1.08,0.95,1.04,0.92,0.6,0.81,0.7,0.52,0.66,0.52,0.6,0.68,0.65,0.41,0.54
e_0,1.4,0.97,0.71,1.18,0.97,0.71,0.77,0.66,0.62,0.61,0.6,0.45,0.73,0.56,0.66,0.47
g_0,1.08,1.32,0.86,0.99,0.84,0.79,0.64,0.64,0.48,0.62,0.59,0.76,0.51,0.46,0.54,0.42
