,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10217.66,167.61,169.5,139.27,479.28,1344.05,225020.93,994586.95,866516.78,515032.03,1157423.12,1953666.9,6080508.72,6060146.29,,16381320.83
f_1,249.98,11607.26,184.13,222.9,508.09,1754.96,209212.38,565342.11,847634.88,528385.25,994128.76,,7244312.31,5181056.21,7874320.04,13553256.98
c_1,126.07,175.13,15895.87,206.9,977.24,1601.59,230431.05,557880.83,,656338.44,558629.81,2134014.3,8570082.86,5792125.58,7964656.19,15584676.59
d_1,111.0,146.5,155.9,17776.0,588.81,1091.71,282727.36,,1395380.37,742979.95,992041.95,1925241.68,7448169.28,6768236.22,8572135.36,14164161.3
b_1,123.77,175.84,185.6,222.76,50949.56,3453.64,252084.14,463287.19,583481.46,650945.94,,1822211.07,7842878.1,,9524416.41,18943482.24
a_1,98.27,197.1,269.67,241.07,403.27,194751.33,266254.55,654304.06,1090020.31,503003.68,582384.43,1657663.59,6012179.76,,,14291680.39
h_1,612.31,797.76,719.92,882.33,1786.07,5691.73,12938703.37,2191289.76,2628374.7,2499100.58,2507693.3,5620974.6,,25877080.37,37541070.0,64000195.07
d_0,731.01,714.89,2194.17,,2117.84,6803.01,1230481.88,15607865.02,3953653.39,2503421.79,5566428.72,8531354.34,46803581.13,30795556.09,36629203.74,58843007.99
c_0,645.22,733.31,,1249.29,1837.23,8782.16,1253436.89,3245847.96,24217128.75,2591254.91,9441073.45,10242386.01,34962925.16,20326740.69,39719792.81,82038711.59
g_1,429.37,487.99,638.64,1297.54,1674.44,4624.53,1105522.12,2034769.06,2229424.97,39485789.09,2507693.3,13048691.03,21700141.38,24994907.18,31284225.0,
b_0,742.27,821.42,1032.75,1221.93,,4466.69,1156771.49,3275532.47,3192219.51,2876448.21,34275268.29,5251383.55,38241866.44,46153432.03,39749020.03,93367579.54
f_0,772.91,,1131.19,671.52,2605.4,6064.6,1794964.63,2668391.38,4143687.34,2891059.7,4962237.03,69670378.81,30597177.34,32227367.57,70749020.8,89924684.94
h_0,929.91,1420.17,1355.65,1817.84,5068.22,7752.53,,4751135.65,5662288.57,6029849.57,6831302.44,9374883.74,,38908328.42,62612481.27,162850060.59
a_0,947.53,798.99,903.06,902.9,,,1608957.93,2306450.07,4418723.94,2659664.55,5388941.95,9860629.02,37399752.8,305728623.87,40245731.34,
e_0,,830.99,878.56,808.5,2152.92,,1312093.86,3065160.24,4595689.37,4671558.15,4743425.5,10721698.03,40665646.71,34027863.69,449536058.82,82167097.68
g_0,956.61,966.42,1487.55,3324.52,3884.11,8776.88,1942748.25,2970603.02,4231220.97,,7139018.77,14605049.12,65028399.01,,63615283.78,
