,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.93,0.09,0.1,0.11,0.08,0.08,0.08,0.06,0.09,0.08,0.06,0.04,0.06,0.06,,0.03
f_1,0.18,0.93,0.08,0.11,0.1,0.06,0.06,0.06,0.08,0.05,0.07,,0.05,0.06,0.03,0.04
d_1,0.1,0.12,0.93,0.09,0.09,0.05,0.08,0.06,,0.11,0.07,0.05,0.04,0.06,0.05,0.05
c_1,0.11,0.09,0.12,0.93,0.17,0.06,0.08,0.07,0.07,,0.05,0.05,0.06,0.05,0.05,0.05
b_1,0.14,0.11,0.11,0.08,0.93,0.11,0.08,0.08,0.07,0.05,,0.06,0.04,0.08,0.03,0.06
a_1,0.12,0.11,0.11,0.12,0.1,0.93,0.08,0.09,0.07,0.09,0.08,0.05,,0.09,0.05,
h_1,0.25,0.44,0.28,0.25,0.23,0.15,0.71,0.21,0.21,0.17,0.18,0.15,0.14,,0.11,0.14
g_1,0.3,0.24,0.43,0.26,0.22,0.16,0.22,0.71,0.2,0.18,0.14,0.26,0.12,0.16,0.12,
d_0,0.38,0.31,,0.48,0.28,0.25,0.22,0.19,0.58,0.25,0.21,0.16,0.17,0.24,0.13,0.18
c_0,0.32,0.41,0.29,,0.29,0.18,0.23,0.21,0.21,0.58,0.34,0.19,0.18,0.22,0.19,0.2
b_0,0.39,0.35,0.33,0.31,,0.2,0.23,0.24,0.27,0.21,0.6,0.22,0.25,0.21,0.16,0.11
f_0,0.36,,0.44,0.37,0.25,0.34,0.23,0.15,0.33,0.25,0.21,0.58,0.2,0.25,0.25,0.13
a_0,0.32,0.44,0.34,0.36,0.42,,0.25,0.27,0.19,0.27,0.23,0.22,0.56,0.26,,0.19
h_0,0.55,0.66,0.52,0.59,0.35,0.3,,0.26,0.28,0.28,0.28,0.18,0.24,,0.18,0.28
e_0,,0.45,0.37,0.39,0.36,0.33,0.34,0.29,0.3,0.2,0.24,0.22,,0.27,0.56,0.18
g_0,0.59,0.58,0.6,0.47,0.33,,0.32,,0.32,0.31,0.31,0.4,0.25,0.3,0.26,
