,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.33,0.9,0.91,0.8,0.6,0.38,0.46,0.38,0.33,0.35,0.37,0.29,0.27,0.3,0.22
e_1,0.75,1.0,0.96,1.01,0.94,0.81,0.48,0.45,0.65,0.43,0.45,0.45,0.33,0.35,0.35,0.32
d_1,1.12,1.04,1.0,0.97,0.93,0.71,0.54,0.38,0.43,0.53,0.46,0.37,0.38,0.34,0.25,0.33
c_1,1.12,0.99,1.03,1.0,1.23,0.8,0.54,0.44,0.31,0.4,0.34,0.41,0.37,0.39,0.31,0.3
b_1,1.24,1.07,1.07,0.81,1.0,1.22,0.64,0.51,0.52,0.53,0.45,0.4,0.45,0.33,0.4,0.38
a_1,1.67,1.24,1.43,1.25,0.83,1.0,0.76,0.66,0.59,0.64,0.62,0.53,0.59,0.5,0.42,0.41
h_1,2.63,1.99,1.91,1.89,1.59,1.29,1.0,1.1,0.94,0.8,0.79,0.7,0.7,0.63,0.85,0.63
g_1,2.2,2.28,2.63,2.24,1.95,1.55,0.95,1.0,1.0,0.89,0.86,1.05,0.7,0.76,0.69,0.71
d_0,2.54,1.59,2.27,3.24,1.9,1.72,1.12,0.98,1.0,0.78,0.99,0.78,0.85,0.81,0.77,0.87
c_0,3.04,2.27,1.92,2.39,1.76,1.52,1.19,1.16,1.13,1.0,1.4,0.78,1.01,0.95,0.86,0.88
b_0,2.88,2.22,2.18,3.01,2.2,1.59,1.27,1.23,0.99,0.71,1.0,0.83,0.86,1.16,0.74,0.74
f_0,2.71,2.1,2.83,2.49,2.36,1.96,1.38,0.88,1.22,1.3,1.16,1.0,0.93,0.87,0.7,1.23
h_0,3.54,3.01,2.7,2.67,2.13,1.73,1.4,1.49,1.18,1.0,1.14,1.01,1.0,0.87,1.04,0.72
a_0,3.67,2.81,2.94,2.67,2.81,2.01,1.59,1.28,1.3,1.01,0.91,1.11,1.1,1.0,0.93,0.92
g_0,3.21,2.77,3.89,3.14,2.62,2.2,1.16,1.46,1.4,1.16,1.34,1.49,0.97,1.09,1.0,0.99
e_0,4.84,3.33,2.82,3.47,2.57,2.45,1.64,1.55,1.26,1.15,1.38,0.79,1.4,1.12,1.02,1.0
