,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.28,1.45,0.93,0.71,0.65,0.57,1.43,1.81,1.19,1.51,1.52,0.9,1.86,1.01,1.42,1.47
e_1,1.03,2.29,0.96,0.62,0.72,0.59,1.54,3.08,1.51,1.61,1.76,1.69,2.18,0.92,1.56,1.79
c_1,0.84,0.84,2.42,0.79,1.41,0.72,1.44,1.48,1.3,0.74,1.09,1.37,1.69,1.32,1.1,1.8
d_1,0.95,0.9,0.65,2.59,0.69,0.54,1.73,1.1,1.35,3.31,1.97,1.53,2.1,1.55,1.55,1.97
b_1,0.83,0.78,0.82,0.81,2.61,1.39,1.27,1.66,1.1,1.57,0.93,1.59,2.19,1.57,1.01,1.84
a_1,1.0,0.83,0.82,0.84,0.7,3.04,1.6,1.68,1.32,1.43,1.72,1.74,2.5,1.62,1.1,2.18
h_1,1.28,0.92,0.92,0.87,0.84,0.6,3.28,1.74,1.84,1.81,1.62,1.75,1.49,1.79,1.35,2.51
d_0,1.11,0.85,1.64,0.61,0.86,0.56,1.81,3.0,1.61,1.22,1.67,1.44,2.29,1.64,1.59,2.02
g_1,0.98,0.74,0.9,1.4,0.86,0.67,1.75,1.52,3.65,1.93,1.71,2.61,2.08,1.76,1.43,1.71
c_0,1.15,1.0,0.77,0.94,0.57,0.65,1.79,1.84,1.62,3.15,3.54,1.87,2.2,1.55,2.03,1.95
b_0,1.23,1.02,0.96,0.96,0.64,0.53,1.88,2.09,1.62,1.82,3.25,1.74,2.24,1.69,3.21,2.19
f_0,0.8,0.74,1.1,0.95,0.9,0.79,1.76,2.07,1.66,1.71,1.94,3.34,2.41,3.38,1.21,2.35
h_0,1.27,0.91,1.04,0.86,0.93,0.64,1.32,1.71,1.86,1.8,1.77,1.53,1.6,1.67,1.3,2.7
e_0,1.13,0.65,1.17,0.87,0.93,0.83,2.17,1.61,1.51,1.79,1.51,1.9,2.39,3.5,1.42,2.29
a_0,1.09,0.99,1.04,0.76,0.89,0.5,1.79,2.05,1.81,1.74,1.85,1.79,2.67,1.79,3.53,2.31
g_0,0.78,0.83,0.98,1.29,0.9,0.66,1.76,1.78,1.25,1.84,1.89,2.87,2.2,1.93,1.47,1.72
